id;name;Price [CZK];Price without VAT [CZK];Rating;rating_count;availability;"Display size [""]";Resolution;Panel type;Processor series;Processor model;Number of processor cores;Cache processor [MB];Core boost frequency [GHz];Max TDP [W];Size of operational RAM [GB];Memory type;Graphics card brand;Model graphics cards;Operating system;Storage Type;Storage capacity [GB];SSD capacity [GB];Internal interface;USB-C charging;Charging connector;Colour;Weight [kg];USB 3.2 Gen 2;USB-C;Graphical output ports;Width [mm];Maximum height [mm];Depth [mm];Height [mm];Package includes;Assembly type;Basic equipment;PSU [W];PC series;Processor frequency [GHz];Processor cache [MB];CPU features;Graphics card memory [GB];Number of stream processors;Special graphics card features;Socket;Slots for additional cards;"Number of occupied slots 2.5""";"Slots in total 2.5""";"Number of occupied slots 3.5""";"Slots in total 3.5""";Number of occupied slots M.2;Slots in total M.2;Wardrobe size;Front panel location;Sidewalls;Side panel material;Memory frequency [MHz];Maximum RAM capacity [GB];Total number of slots;Number of installed slots;USB 2.0;USB 3.2 Gen 1 (USB 3.0);Other;Optical drive;Country;Extended warranty;USB 3.2 Gen 2x2;Maximum Graphic Power (TGP) [W];Basic accessories;Certification;WiFi type;GPU Passmark;CPU Passmark;Number of free slots;LHR (Lite Hash Rate);HDD RPM Rate [RPM];HDD capacity [GB];"Disk size [""]"
716;"iMac 24"" M3 CZ Modrý";47190;39000;;;Ordered on request;23.5;4480 × 2520 px;IPS;Apple Silicon;Apple M3 (8jádrové);8.0;;;;8.0;;Apple;Apple M3 10-core GPU;['macOS'];['SSD'];256.0;;;;;;;;4.0;Thunderbolt 3;547.0;;147.0;461.0;;['All-in-one PC'];['Bluetooth', 'Webcam', 'Wi-Fi', 'Speakers'];;Apple iMac;;;;;;;;;;;;;;;All In One;;;;;;;;;;;Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;['Magic Keyboard with Touch ID'];;;;;;;;;
717;Dell Vostro 3910;14990;12388;;;Ordered on request;;;;Intel Core i5;Intel Core i5 12400 Alder Lake;6.0;;4.4;117.0;8.0;DDR4;Intel;UHD Graphics 730;['Windows 11 Pro'];['SSD'];256.0;256.0;['M.2 (NVMe)'];;;;;;;HDMI, DisplayPort;154.0;;292.0;324.3;['Mouse', 'Keyboard'];['Office'];['Bluetooth', 'Wi-Fi'];180.0;Dell Vostro;2.5;18.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];;;;;['PCI Express x1', 'PCI Express x16'];;;0.0;1.0;1.0;1.0;Micro Tower;Front;Opaque;Steel;3200.0;64.0;2.0;1.0;4.0;4.0;['Combo Audio Jack', 'Audio output (Line out)', 'RJ-45 (LAN)'];DVD;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['Next Business Day'];;;['Mouse', 'Keyboard'];;;;19515.0;;;;;
718;HP 24-cr0003nc White;21490;17760;;;Ordered on request;23.8;1920 × 1080 px;IPS;Intel Core i5;Intel Core i5 1335U Raptor Lake;12.0;;4.6;55.0;16.0;DDR4;Intel;Iris Xe Graphics;['Windows 11 Home'];['SSD'];1000.0;1000.0;['M.2 (NVMe)'];;;;;1.0;1.0;HDMI;540.5;;186.2;409.0;;['All-in-one PC'];['Bluetooth', 'Wi-Fi', 'Speakers'];90.0;;1.3;12.0;;;;;;['M.2'];;;;;;;All In One;;;;3200.0;64.0;2.0;2.0;2.0;2.0;['Combo Audio Jack', 'RJ-45 (LAN) 1Gbps'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;['Mouse', 'Keyboard', 'Webcam'];;;;;;;;;
719;Alza Gamebox RTX4060Ti Rapture SENSE edition;29990;24785;;;Ordered on request;;;;Intel Core i5;Intel Core i5 12400F Alder Lake;6.0;;4.4;117.0;32.0;DDR4;NVIDIA GeForce;RTX 4060 Ti;['Windows 11 Home'];['SSD'];1000.0;1000.0;['M.2 (PCIe 3.0 4x NVMe)'];;;;;2.0;;HDMI 2.1, DisplayPort 1.4;208.0;;400.0;458.0;;['Gaming'];['Bluetooth', 'Wi-Fi'];650.0;Alza GameBox;2.5;18.0;;8.0;4352.0;Nvidia DLSS 3.0;Intel LGA1700;;;;;;1.0;2.0;Midi Tower;Top;Transparent;Tempered glass;3200.0;;4.0;2.0;4.0;;['PS/2', 'RJ-45 (LAN) 2.5Gbps', 'Jack'];Without Optical Drive;;;;;;;;;;;;;;
720;Alza Gamebox RTX4060Ti Rapture COOLKID edition;29990;24785;;;Ordered on request;;;;Intel Core i5;Intel Core i5 12400F Alder Lake;6.0;;4.4;117.0;32.0;DDR4;NVIDIA GeForce;RTX 4060 Ti;['Windows 11 Home'];['SSD'];1000.0;1000.0;['M.2 (PCIe 3.0 4x NVMe)'];;;;;2.0;;HDMI 2.1, DisplayPort 1.4;208.0;;400.0;458.0;;['Gaming'];['Bluetooth', 'Wi-Fi'];650.0;Alza GameBox;2.5;18.0;;8.0;4352.0;Nvidia DLSS 3.0;Intel LGA1700;;;;;;1.0;2.0;Midi Tower;Top;Transparent;Tempered glass;3200.0;;4.0;2.0;4.0;;['PS/2', 'RJ-45 (LAN) 2.5Gbps', 'Jack'];Without Optical Drive;;;;;;;;;;;;;;
721;HP 24-cr0000nc White;14990;12388;;;Ordered on request;23.8;1920 × 1080 px;IPS;Intel Core i3;Intel Core i3 N300;8.0;;3.8;;8.0;DDR4;Intel;UHD Graphics;['Windows 11 Home'];['SSD'];512.0;512.0;['M.2 (NVMe)'];;;;;1.0;1.0;HDMI;540.5;;186.2;409.0;;['All-in-one PC'];['Bluetooth', 'Wi-Fi', 'Speakers'];65.0;;;6.0;;;;;;['M.2'];;;;;;;All In One;;;;3200.0;16.0;2.0;1.0;2.0;2.0;['Combo Audio Jack', 'RJ-45 (LAN) 1Gbps'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;['Mouse', 'Keyboard', 'Webcam'];;;;;;;;;
722;DELL Inspiron 24 (5420) bílý;21290;17595;;;Ordered on request;23.8;1920 × 1080 px;WVA;Intel Core i3;Intel Core i3 1315U Raptor Lake;6.0;;4.5;55.0;8.0;DDR4;Intel;UHD Graphics;['Windows 11 Pro'];['SSD'];512.0;512.0;['M.2 (NVMe)'];;;;;;1.0;HDMI;542.7;;40.2;358.5;;['All-in-one PC'];['Memory Card Reader', 'Wi-Fi', 'Speakers'];90.0;Dell Inspiron;1.2;10.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];;;;;;0.0;1.0;;;1.0;1.0;All In One;;;;3200.0;32.0;2.0;1.0;;4.0;['Combo Audio Jack', 'LAN'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['On-site'];;;['Mouse', 'Keyboard', 'Webcam'];;;;;;;;;
723;HAL3000 PowerWork AMD 221 W11 Pro;18990;15694;;;Ordered on request;;;;AMD Ryzen 7;AMD Ryzen 7 5700G;8.0;;4.6;65.0;16.0;DDR4;AMD Radeon;Vega 8;['Windows 11 Pro'];['SSD'];500.0;500.0;['M.2 (PCIe 3.0 4x NVMe)'];;;;;2.0;;VGA D-SUB, HDMI, DisplayPort;195.0;;453.0;402.0;['Mouse', 'Keyboard'];['Office'];['Bluetooth', 'Wi-Fi', 'AMD Smart Access Memory'];450.0;PowerWork;3.8;16.0;['Automatic Overclocking', 'Virtualization Support', 'Multi Threading'];;;;AMD AM4;['PCI Express x1', 'PCI Express x16'];0.0;2.0;0.0;2.0;1.0;1.0;Mini Tower;Front;Opaque;Steel;3200.0;128.0;4.0;2.0;2.0;4.0;['PS2', 'Microphone input', 'Headphone/Speaker output', 'RJ-45 (LAN) 1Gbps'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['Extended Warranty'];;;['Mouse', 'Keyboard'];;;;;;;;;
724;Lenovo ThinkCentre M90s Gen 3 Black (3 roky NBD ONSITE servis);30390;25116;;;Ordered on request;;;;Intel Core i7;Intel Core i7 12700 Alder Lake;12.0;;4.8;180.0;16.0;DDR5;Intel;UHD Graphics 770;['Windows 11 Pro'];['SSD'];512.0;512.0;['M.2 (PCIe 4.0 4x NVMe)'];;;;;2.0;1.0;HDMI, DisplayPort;92.5;;297.7;339.5;;['Office'];['Bluetooth', 'Opticl drive', 'Wi-Fi', 'Speakers'];380.0;Lenovo ThinkCentre;1.6;25.0;['HyperThreading', 'Virtualization Support'];;;;Intel LGA1700;['PCI Express x1', 'PCI Express x16', 'M.2'];;;;;;;Desktop;Front;Opaque;;4400.0;128.0;4.0;1.0;;6.0;['Audio Jack 3.5mm', 'RJ-45 (LAN)'];DVD;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['On-site'];;;['Mouse', 'Keyboard'];;;;;;;;;
725;HP Pro 400 G9 Black záruka 3 roky ON-SITE;10490;8669;;;Ordered on request;;;;Intel Core i3;Intel Core i3 12100T Alder Lake;4.0;;4.1;69.0;8.0;DDR4;Intel;UHD Graphics 730;['Without Operating System'];['SSD'];256.0;256.0;;;;;;3.0;1.0;HDMI, DisplayPort;177.0;;175.0;34.0;['Mouse', 'Keyboard'];['Mini PC', 'Performance'];['Bluetooth', 'Wi-Fi'];90.0;;2.2;12.0;['Automatic Overclocking', 'Virtualization Support'];;;;;['M.2'];;1.0;;;;;Desktop;Front;Opaque;;3200.0;64.0;2.0;1.0;1.0;2.0;['Combo Audio Jack', 'USB-C', 'RJ-45 (LAN) 1Gbps'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;1.0;;['Mouse', 'Keyboard'];;;;12840.0;;;;;
726;HAL3000 EliteWork 222 W11;14990;12388;;;Ordered on request;;;;Intel Core i5;Intel Core i5 12400 Alder Lake;6.0;;4.4;65.0;16.0;DDR4;Intel;UHD Graphics 730;['Windows 11 Home'];['SSD'];500.0;500.0;['M.2 (PCIe 3.0 4x NVMe)'];;;;;;;DVI-D, VGA D-SUB, HDMI, DisplayPort;193.0;;415.0;371.0;;['Office'];['Memory Card Reader'];350.0;EliteWork;2.5;18.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];;;;Intel LGA1700;['PCI Express x1', 'PCI Express x16'];0.0;2.0;0.0;2.0;1.0;1.0;Mini Tower;Front;Opaque;Steel;3200.0;64.0;2.0;2.0;4.0;4.0;['PS2', 'Microphone input', 'Headphone/Speaker output', 'RJ-45 (LAN) 1Gbps'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['Extended Warranty'];;;['Mouse', 'Keyboard'];;;;;;;;;
727;Lenovo ThinkCentre M70q Gen 3;14590;12058;;;Ordered on request;;;;Intel Core i3;Intel Core i3 12100T Alder Lake;4.0;;4.1;89.0;8.0;DDR4;Intel;UHD Graphics 730;['Windows 11 Pro'];['SSD'];256.0;256.0;['M.2 (NVMe)'];;;;;4.0;1.0;HDMI, DisplayPort;179.0;;182.9;36.5;;['Mini PC'];['Bluetooth', 'Wi-Fi', 'Speakers'];65.0;Lenovo ThinkCentre;2.2;12.0;['Automatic Overclocking', 'HyperThreading'];;;;Intel LGA1700;['M.2'];;;;;;;Mini Tower;Front;Opaque;;3200.0;64.0;2.0;1.0;1.0;1.0;['Audio Jack 3.5mm', 'RJ-45 (LAN)'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['On-site'];;;['Mouse', 'Keyboard'];;['WiFi 802.11 ax'];;;;;;;
728;OMEN by HP GT22-1049nc;124090;102554;;;Ordered on request;;;;Intel Core i9;Intel Core i9 13900K Raptor Lake;24.0;;5.8;253.0;64.0;DDR5;NVIDIA GeForce;RTX 4090;['Windows 11 Home'];['SSD'];4000.0;4000.0;['M.2 (NVMe)'];;;;;2.0;2.0;DisplayPort;204.0;;470.0;555.0;;['Gaming'];['Bluetooth', 'Wi-Fi'];1200.0;HP OMEN;3.0;36.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];24.0;16384.0;;;['PCI Express x4', 'PCI Express x16', 'M.2'];;;;;;;Big Tower;;Transparent;;5200.0;128.0;4.0;4.0;4.0;4.0;['Combo Audio Jack', 'Microphone input', 'RJ-45 (LAN) 1Gbps'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;1.0;;['Mouse', 'Keyboard'];;;;;;;;;
729;ASUS ExpertCenter D7 SFF D700SD 9L Black;13990;11562;;;Ordered on request;;;;Intel Core i3;Intel Core i3 12100 Alder Lake;4.0;;4.3;60.0;8.0;DDR4;Intel;UHD Graphics 730;['Windows 11 Pro'];['SSD'];512.0;512.0;;;;;;;1.0;VGA D-SUB, HDMI, DisplayPort;94.6;;292.6;339.6;['Mouse', 'Keyboard'];['Office'];['Memory Card Reader'];300.0;ASUS ExpertCenter;3.3;12.0;;;;;;;;;;;;;Desktop;Front;Opaque;;;128.0;;1.0;4.0;2.0;['Combo Audio Jack', 'LAN', 'PS2', 'Headphone/Speaker output', 'RJ-45 (LAN) 1Gbps'];DVD;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;2.0;;['Mouse', 'Keyboard'];;;;14364.0;;;;;
730;Lenovo ThinkCentre neo 50q Gen 4;14190;11727;;;Ordered on request;;;;Intel Core i3;Intel Core i3 1215U Alder Lake;6.0;;4.4;55.0;8.0;DDR4;Intel;UHD Graphics;['Windows 11 Pro'];['SSD'];256.0;256.0;['M.2 (PCIe 4.0 4x NVMe)'];;;;;3.0;1.0;HDMI, DisplayPort;179.0;;182.9;36.5;;['Office'];['Bluetooth', 'Wi-Fi'];65.0;Lenovo ThinkCentre;0.9;10.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];;;;;['SATA III'];0.0;1.0;0.0;0.0;1.0;1.0;Mini ITX;Front;Opaque;;3200.0;32.0;2.0;1.0;2.0;;['Combo Audio Jack', 'RJ-45 (LAN)'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['On-site'];;;['Mouse', 'Keyboard'];;;;;;;;;
731;HP Pro 240 G9 Jet Black;12490;10322;;;Ordered on request;23.8;1920 × 1080 px;IPS;Intel Core i3;Intel Core i3 1215U Alder Lake;6.0;;4.4;;8.0;DDR4;Intel;UHD Graphics;['Without Operating System'];['SSD'];256.0;256.0;;;;;;1.0;;HDMI;540.6;;183.7;419.0;;['All-in-one PC'];['Speakers'];65.0;;;10.0;['Virtualization Support'];;;;;;;;;;;;All In One;;;;3200.0;;1.0;1.0;2.0;2.0;['Combo Audio Jack', 'RJ-45 (LAN) 1Gbps'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;['Mouse', 'Keyboard', 'Webcam'];;;;;;;;;
732;MSI MEG Trident X2 13NUI-004EU;145090;119909;;;Expected November 2023;;;;Intel Core i9;Intel Core i9 13900KF Raptor Lake;24.0;;5.8;125.0;64.0;DDR5;NVIDIA GeForce;RTX 4090;['Windows 11 Home'];['SSD'];2000.0;2000.0;['M.2 (PCIe 4.0 4x NVMe)'];;;;;3.0;2.0;HDMI, DisplayPort;487.15;;222.63;453.84;;['Gaming'];['Bluetooth', 'Touch display', 'Water cooling', 'RGB backlight', 'Wi-Fi'];1000.0;MSI Trident;3.0;36.0;['Automatic Overclocking', 'HyperThreading', 'No graphics chip'];24.0;16384.0;GeForce VR-Ready;Intel LGA1700;;0.0;2.0;0.0;2.0;1.0;3.0;Midi Tower;Top;Opaque;;4800.0;128.0;4.0;2.0;2.0;2.0;['7.1 Channel Audio(3 ports)', 'PS2', 'S/PDIF optical output', 'Microphone input', 'Headphone/Speaker output', 'RJ-45 (LAN)'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['No extended warranty'];0.0;;;;;;;;;;;
733;Lenovo ThinkCentre M60e Black;12490;10322;;;Ordered on request;;;;Intel Core i3;Intel Core i3 1005G1 Ice Lake;2.0;;3.4;15.0;4.0;DDR4;Intel;UHD Graphics;['Windows 11 Pro'];['SSD'];128.0;128.0;['M.2 (NVMe)'];;;;;1.0;1.0;HDMI, DisplayPort;179.0;;182.9;36.5;;['Office'];['Bluetooth', 'Wi-Fi', 'Speakers'];65.0;Lenovo ThinkCentre;1.2;4.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];;;;;;;;;;;;Desktop;;;;2666.0;32.0;2.0;1.0;2.0;2.0;['Combo Audio Jack', 'Kensington lock', 'LAN'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['No extended warranty'];;;['Mouse', 'Keyboard'];;;;;;;;;
734;Mac mini M2 PRO 2023;59990;49579;;;Ordered on request;;;;Apple Silicon;Apple M2 Pro (12-core);12.0;;;;32.0;;Apple;M2 PRO 19-core GPU;['macOS'];['SSD'];1000.0;1000.0;;;;;;;4.0;HDMI, USB-C, Thunderbolt 4;197.0;;197.0;35.8;;['Mini PC'];['Bluetooth', 'Wi-Fi'];;Apple Mac Mini;;;;;;;;;;;;;;;Micro Tower;;;;;;;;;;;Without Optical Drive;;;;;;;;;;;;;;
735;MSI MEG Trident X2 13NUG-033EU;89990;74372;;;Ordered on request;;;;Intel Core i7;Intel Core i7 13700KF Raptor Lake;16.0;;5.4;125.0;32.0;DDR5;NVIDIA GeForce;RTX 4080;['Windows 11 Home'];['SSD', 'HDD'];4000.0;2000.0;['M.2 (PCIe 4.0 4x NVMe)'];;;;;3.0;2.0;HDMI, DisplayPort;487.15;;222.63;453.84;;['Gaming'];['Bluetooth', 'Touch display', 'Water cooling', 'RGB backlight', 'Wi-Fi'];1000.0;MSI Trident;3.4;30.0;['Automatic Overclocking', 'HyperThreading', 'No graphics chip'];16.0;;GeForce VR-Ready;Intel LGA1700;;0.0;2.0;1.0;2.0;1.0;3.0;Midi Tower;Top;Opaque;;4800.0;128.0;4.0;2.0;2.0;2.0;['7.1 Channel Audio(3 ports)', 'PS2', 'S/PDIF optical output', 'Microphone input', 'Headphone/Speaker output', 'RJ-45 (LAN)'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['No extended warranty'];0.0;;;;;;;;;7200.0;2048.0;
736;Acer Predator Orion 7000 PO7-650;137990;114041;;;Expected December 2023;;;;Intel Core i9;Intel Core i9 13900KF Raptor Lake;24.0;36.0;5.8;125.0;64.0;DDR5;NVIDIA GeForce;RTX 4090;['Windows 11 Home'];['SSD', 'HDD'];5000.0;2000.0;;;;;;1.0;;HDMI, DisplayPort;219.0;;485.0;504.8;;['Gaming'];['Bluetooth', 'Wi-Fi'];1200.0;Acer Predator;3.0;;['Automatic Overclocking', 'HyperThreading'];24.0;16384.0;;;['PCI Express x16'];;;;;2.0;2.0;Desktop;Front;Transparent;;;;4.0;4.0;4.0;2.0;['Audio Jack 3.5mm', 'RJ-45 (LAN) 2.5Gbps', 'Microphone input', 'Audio input (Line in)', 'Audio output (Line out)', 'RJ-45 (LAN)'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['No extended warranty'];1.0;;['Mouse', 'Keyboard'];;;;;;;7200.0;3072.0;
737;Dell PowerEdge T40;26790;22140;;;Ordered on request;;;;Intel Xeon;Intel Xeon E 2224G;4.0;;4.7;71.0;8.0;DDR4;Intel;UHD Graphics P630;['Without Operating System'];['HDD'];2048.0;;;;;;;;;DisplayPort;176.53;;359.5;335.0;;['Server'];['Opticl drive'];300.0;Dell PowerEdge;3.5;8.0;['Automatic Overclocking', 'Virtualization Support'];;;;;['PCI', 'PCI Express x4', 'PCI Express x16'];;;;;;;Mini Tower;;;;2666.0;64.0;4.0;1.0;4.0;6.0;['COM port', 'LAN', 'PS/2', 'Headphone/Speaker output'];DVD;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['On-site'];;;;;;;;;;7200.0;1953.125;
738;Dell Precision 3460 SFF;32390;26769;;;Ordered on request;;;;Intel Core i7;Intel Core i7 12700 Alder Lake;12.0;;4.9;180.0;16.0;DDR5;Intel;UHD Graphics 770;['Windows 10 Pro'];['SSD'];512.0;512.0;['M.2 (NVMe)'];;;;;;1.0;DisplayPort;92.6;;292.8;290.0;;['Performance'];;300.0;Dell Precision;2.1;25.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];;;;;['PCI Express x4', 'PCI Express x16'];0.0;2.0;;;1.0;2.0;Mini Tower;Front;Opaque;;4800.0;64.0;2.0;2.0;4.0;5.0;['Combo Audio Jack', 'Audio output (Line out)', 'RJ-45 (LAN)'];DVD;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['Next Business Day'];;;['Mouse', 'Keyboard'];;;;;;;;;
739;HP Pro 400 G9 Black záruka 3 roky ON-SITE;11990;9909;;;Ordered on request;;;;Intel Core i5;Intel Core i5 12500T Alder Lake;6.0;;4.4;74.0;8.0;DDR4;Intel;UHD Graphics 770;['Without Operating System'];['SSD'];256.0;256.0;;;;;;3.0;1.0;HDMI, DisplayPort;177.0;;175.0;34.0;['Mouse', 'Keyboard'];;['Bluetooth', 'Wi-Fi'];90.0;;2.0;18.0;['Virtualization Support'];;;;;['M.2'];;1.0;;;;;Desktop;Front;Opaque;;3200.0;64.0;2.0;1.0;1.0;2.0;['Combo Audio Jack', 'RJ-45 (LAN) 1Gbps'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;1.0;;['Mouse', 'Keyboard'];;;;17604.0;;;;;
740;HAL3000 Master Gamer Elite 4070 Ti;59990;49579;;;Ordered on request;;;;Intel Core i7;Intel Core i7 13700F Raptor Lake;16.0;;5.2;219.0;32.0;DDR5;NVIDIA GeForce;RTX 4070 Ti;['Windows 11 Home'];['SSD'];1000.0;1000.0;['M.2 (PCIe 4.0 4x NVMe)'];;;;;3.0;1.0;HDMI, DisplayPort;230.0;;480.0;505.0;;['Gaming'];['Bluetooth', 'Wi-Fi'];850.0;Master Gamer;2.1;24.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];12.0;7680.0;GeForce VR-Ready;Intel LGA1700;['PCI Express x1', 'PCI Express x16'];0.0;6.0;0.0;2.0;1.0;4.0;Midi Tower;Top;Transparent;Tempered glass;6000.0;128.0;4.0;2.0;2.0;2.0;['7.1 Channel Audio(3 ports)', 'RJ-45 (LAN) 2.5Gbps', 'S/PDIF optical output', 'Headphone/Speaker output'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['Extended Warranty'];1.0;;;;;;;;;;;
741;HP ENVY 27-cp0001nc Black;59990;49579;1.0;1.0;Ordered on request;27.0;3840 × 2160 px;IPS;Intel Core i7;Intel Core i7 12700 Alder Lake;12.0;;4.9;180.0;32.0;DDR5;NVIDIA GeForce;RTX 3060;['Windows 11 Home'];['SSD'];1000.0;1000.0;['M.2 (PCIe 4.0 4x NVMe)'];;;;;4.0;3.0;Thunderbolt 4, HDMI 2.1;614.0;;212.0;507.0;;['All-in-one PC'];['Bluetooth', 'Memory Card Reader', 'Webcam', 'Wi-Fi', 'Speakers'];330.0;HP ENVY;2.1;25.0;['Automatic Overclocking', 'Virtualization Support', 'Multi Threading'];6.0;;GeForce VR-Ready;;;;;;;1.0;2.0;;;;;4000.0;128.0;4.0;2.0;;2.0;['Combo Audio Jack', 'RJ-45 (LAN)'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['No extended warranty'];;60.0;['Mouse', 'Keyboard'];['TÜV Low Blue Light'];['WiFi 802.11 ac'];;;2.0;;;;
742;HAL3000 Alfa Gamer Elite 7900 XTX;62990;52058;;;Ordered on request;;;;AMD Ryzen 7;AMD Ryzen 7 7700X;8.0;;5.4;105.0;32.0;DDR5;AMD Radeon RX;7900 XTX;['Windows 11 Home'];['SSD'];1000.0;1000.0;['M.2 (PCIe 4.0 4x NVMe)'];;;;;1.0;1.0;HDMI, DisplayPort;220.0;;442.0;472.0;;['Gaming'];['Bluetooth', 'RGB backlight', 'Wi-Fi', 'AMD Smart Access Memory'];850.0;Alfa Gamer;4.5;32.0;['Automatic Overclocking', 'Virtualization Support', 'Multi Threading'];24.0;;Radeon VR-Ready;AMD AM5;['PCI Express x16'];0.0;4.0;0.0;2.0;1.0;3.0;Midi Tower;Top;Transparent;Tempered glass;6000.0;128.0;4.0;2.0;3.0;5.0;['7.1 Channel Audio(3 ports)', 'PS2', 'RJ-45 (LAN) 2.5Gbps', 'Headphone/Speaker output'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['Extended Warranty'];;;;;;;;;;;;
743;HP ProOne 440 G9 Black záruka 3 roky ON-SITE;17990;14868;;;Ordered on request;23.8;1920 × 1080 px;IPS;Intel Core i3;Intel Core i3 12100T Alder Lake;4.0;;4.1;69.0;8.0;DDR4;Intel;UHD Graphics 730;['Windows 11 Pro'];['SSD'];256.0;256.0;['M.2 (NVMe)'];;;;;3.0;1.0;HDMI, DisplayPort;539.3;;225.0;379.4;['Mouse', 'Keyboard', 'Power cable'];['All-in-one PC'];['Bluetooth', 'Memory Card Reader', 'Webcam', 'Wi-Fi'];120.0;HP ProOne;2.2;12.0;['Virtualization Support'];;;;;['M.2'];1.0;;;;1.0;;All In One;Side;Opaque;;3200.0;64.0;2.0;1.0;1.0;2.0;['USB-C', 'Microphone input', 'Headphone input', 'RJ-45 (LAN) 1Gbps'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;['Mouse', 'Keyboard', 'Webcam'];;;;;;;;;
