id;Display -> Display size;Display -> Display refresh rate;Display -> Luminosity;Processor -> Number of processor cores;Processor -> Processor frequency;Processor -> Core boost frequency;Processor -> TDP;Processor -> Cache processor;Memory -> Size of operational RAM;Memory -> Memory frequency;Memory -> Number of installed slots;Memory -> Total number of slots;Memory -> Intel Optane;Graphics card -> Graphics card memory;Graphics card -> Maximum Graphic Power (TGP);Graphics card -> Boost clock;Graphics card -> Number of stream processors;Graphics card -> GPU Passmark;Hard drive -> Storage capacity;Hard drive -> HDD capacity;Hard drive -> SSD capacity;Hard drive -> Number of occupied slots M.2;Hard drive -> Slots in total M.2;Hard drive -> Number of occupied slots 2.5";Hard drive -> Slots in total 2.5";Hard drive -> Number of free slots;Battery -> Battery capacity;Battery -> Charging power;Battery -> Maximum battery capacity;Battery -> Number of cells;Battery -> Standby time;Weight -> Weight;Interface -> USB-C;Interface -> USB 3.2 Gen 1 (USB 3.0);Interface -> Thunderbolt / USB 4;Interface -> USB 3.2 Gen 2;Interface -> USB 2.0;Interface -> USB 3.2 Gen 2x2;Dimensions -> Width;Dimensions -> Maximum height;Dimensions -> Depth;
1556;14.0;60.0;300.0;10.0;0.9;4.4;55.0;12.0;8.0;3200.0;0.0;1.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;39.0;65.0;19.9;;;1.21;;2.0;2.0;;;;317.7;17.9;226.9;
1557;17.0;60.0;500.0;14.0;2.5;5.0;35.0;24.0;32.0;4800.0;2.0;2.0;;12.0;60.0;;;;1000.0;;1000.0;1.0;1.0;;;;97.0;130.0;;6.0;;2.17;;;4.0;;;;374.48;13.15;248.08;
1558;16.0;120.0;300.0;14.0;2.4;5.0;45.0;24.0;16.0;4800.0;0.0;0.0;;;;;;;512.0;;512.0;1.0;1.0;;;;86.0;;;6.0;;2.13;;2.0;1.0;;;;356.78;17.91;251.7;
1559;16.0;120.0;300.0;14.0;2.4;5.0;45.0;24.0;16.0;4800.0;0.0;0.0;;6.0;;;;;512.0;;512.0;1.0;1.0;;;;86.0;;;6.0;;2.13;;2.0;1.0;;;;356.78;17.91;251.7;
1560;16.0;60.0;300.0;12.0;1.6;5.0;28.0;18.0;16.0;4800.0;;0.0;;;;;;;512.0;;512.0;1.0;1.0;;;;54.0;65.0;;4.0;;1.94;;2.0;1.0;;;;356.78;18.2;251.7;
1561;16.0;60.0;250.0;12.0;1.4;4.6;28.0;12.0;16.0;4800.0;;0.0;;;;;;;512.0;;512.0;1.0;1.0;;;;54.0;65.0;;4.0;;1.94;;2.0;1.0;;;;356.78;18.2;251.7;
1562;14.0;60.0;250.0;6.0;3.3;4.5;15.0;10.0;8.0;3200.0;1.0;2.0;;;;;;;256.0;;256.0;1.0;1.0;;0.0;;54.0;65.0;;3.0;;1.54;1.0;3.0;;;;;322.17;19.37;219.43;
1563;17.0;60.0;500.0;14.0;2.3;4.7;45.0;24.0;16.0;4800.0;2.0;2.0;;6.0;60.0;;;;1000.0;;1000.0;1.0;1.0;;;;97.0;130.0;;6.0;;2.42;;;4.0;;;;374.48;13.15;248.08;
1564;14.0;;250.0;6.0;1.2;4.5;;10.0;8.0;3200.0;1.0;2.0;;;;;;;512.0;;512.0;;;;;;;65.0;;3.0;;1.41;;2.0;1.0;1.0;;;321.9;19.9;213.9;
1565;14.0;60.0;400.0;12.0;1.7;4.4;28.0;18.0;8.0;3200.0;2.0;2.0;;;;;;;512.0;;;1.0;1.0;0.0;1.0;;48.0;65.0;11.0;3.0;;1.6;1.0;1.0;1.0;;1.0;;339.5;20.0;239.9;
