;id;Display -> Display size;Display -> Display refresh rate;Display -> Luminosity;Processor -> Number of processor cores;Processor -> Processor frequency;Processor -> Core boost frequency;Processor -> TDP;Processor -> Cache processor;Memory -> Size of operational RAM;Memory -> Memory frequency;Memory -> Number of installed slots;Memory -> Total number of slots;Memory -> Intel Optane;Graphics card -> Graphics card memory;Graphics card -> Maximum Graphic Power (TGP);Graphics card -> Boost clock;Graphics card -> Number of stream processors;Graphics card -> GPU Passmark;Hard drive -> Storage capacity;Hard drive -> HDD capacity;Hard drive -> SSD capacity;Hard drive -> Number of occupied slots M.2;Hard drive -> Slots in total M.2;"Hard drive -> Number of occupied slots 2.5""";"Hard drive -> Slots in total 2.5""";Hard drive -> Number of free slots;Battery -> Battery capacity;Battery -> Charging power;Battery -> Maximum battery capacity;Battery -> Number of cells;Battery -> Standby time;Weight -> Weight;Interface -> USB-C;Interface -> USB 3.2 Gen 1 (USB 3.0);Interface -> Thunderbolt / USB 4;Interface -> USB 3.2 Gen 2;Interface -> USB 2.0;Interface -> USB 3.2 Gen 2x2;Dimensions -> Width;Dimensions -> Maximum height;Dimensions -> Depth;Unnamed: 42;Price;Price without VAT
1187;1187;16.0;60.0;500.0;6.0;2.6;4.5;45.0;12.0;16.0;2666.0;;;;4.0;;;;;512.0;;512.0;;;;;;100.0;96.0;11.0;;;2.0;4.0;;;;;;357.9;16.2;245.9;;37315.0;30839.0
1188;1188;14.0;60.0;400.0;14.0;1.9;5.2;28.0;24.0;32.0;4800.0;2.0;2.0;;4.0;;;;;512.0;;512.0;1.0;1.0;;;;54.0;130.0;;3.0;;1.39;;2.0;2.0;;;;321.35;21.04;212.0;;51690.0;42719.0
1189;1189;13.3;;;4.0;1.4;3.9;15.0;6.0;8.0;2133.0;;;;;;;;;128.0;;128.0;;;;;;58.2;;10.0;;;1.37;2.0;;;;;;304.1;14.9;212.4;;23070.0;19066.0
1190;1190;16.0;60.0;300.0;14.0;3.5;4.7;45.0;24.0;16.0;4800.0;1.0;;;4.0;;;;;512.0;;512.0;1.0;1.0;;;;86.0;130.0;;6.0;;2.05;;2.0;1.0;;;;356.78;18.99;251.9;;35890.0;29661.0
1191;1191;13.3;60.0;500.0;8.0;;;;;16.0;;;;;;;;;;256.0;;256.0;;;;;;58.2;;20.0;;;1.4;2.0;;;;;;304.1;15.6;212.4;;31790.0;26273.0
1192;1192;13.4;60.0;500.0;10.0;3.5;4.7;9.0;12.0;16.0;5200.0;;;;;;;;;512.0;;512.0;;;;;;51.0;45.0;;3.0;;1.17;;;2.0;;;;295.4;13.99;199.4;;40490.0;33463.0
1193;1193;13.3;60.0;500.0;8.0;;;;;16.0;;;;;;;;;;1000.0;;1000.0;;;;;;58.2;61.0;20.0;;;1.4;;;2.0;;;;304.1;15.6;212.4;;36390.0;30074.0
1194;1194;15.6;60.0;;6.0;2.0;4.5;15.0;16.0;16.0;3200.0;0.0;0.0;;;;;;;512.0;;512.0;1.0;1.0;;;;39.3;65.0;6.0;3.0;;1.75;1.0;;;1.0;2.0;;359.0;19.9;241.0;;15990.0;13215.0
1195;1195;13.3;60.0;500.0;8.0;;;;;16.0;;;;;;;;;;1000.0;;1000.0;;;;;;;;20.0;;;1.4;2.0;;;;;;304.1;15.6;212.4;;41740.0;34496.0
1196;1196;14.0;;400.0;14.0;3.9;5.2;28.0;20.0;32.0;6400.0;2.0;2.0;;;;;;;1000.0;;1000.0;1.0;1.0;0.0;0.0;;;64.0;14.8;;;0.91;;2.0;2.0;;;;308.0;17.3;209.0;;47990.0;39661.0
1197;1197;13.3;60.0;500.0;8.0;;;;;16.0;;;;;;;;;;2000.0;;2000.0;;;;;;58.2;;20.0;;;1.4;2.0;;;;;;304.1;15.6;212.4;;51669.0;42702.0
1198;1198;14.0;60.0;500.0;10.0;1.2;4.7;55.0;12.0;16.0;5200.0;;;;;;;;;1000.0;;1000.0;1.0;1.0;;;;57.0;65.0;24.9;;;1.12;;2.0;2.0;;;;315.6;15.36;222.5;;60490.0;49992.0
1199;1199;13.3;60.0;500.0;8.0;;;;;16.0;;;;;;;;;;1000.0;;1000.0;;;;;;58.2;61.0;20.0;;;1.4;;;2.0;;;;304.1;15.6;212.4;;39290.0;32471.0
1200;1200;14.0;60.0;400.0;8.0;2.7;4.7;28.0;16.0;16.0;6400.0;;;;;;;;;1000.0;;1000.0;1.0;1.0;0.0;0.0;;57.0;65.0;22.98;;;1.23;2.0;2.0;;;;;317.5;16.9;226.9;;42190.0;34868.0
1201;1201;16.2;120.0;1000.0;10.0;;;;;64.0;;;;;;;;;;1000.0;;1000.0;;;;;;;140.0;21.0;;;2.2;;;3.0;;;;355.7;16.8;248.1;;84690.0;69992.0
1202;1202;14.0;90.0;400.0;10.0;0.8;4.7;29.0;12.0;16.0;4800.0;0.0;0.0;;4.0;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;56.5;100.0;13.06;;;1.42;2.0;2.0;;;;;312.2;15.9;221.0;;25989.0;21479.0
1203;1203;16.2;120.0;1000.0;12.0;;;;;16.0;;;;;;;;;;512.0;;512.0;;;;;;100.0;;22.0;;;2.15;3.0;;3.0;;;;355.7;16.8;248.1;;68100.0;56281.0
1204;1204;14.0;;400.0;6.0;23.0;43.0;15.0;16.0;16.0;3200.0;2.0;2.0;;;;;;;1000.0;;1000.0;;;;;;43.0;65.0;;3.0;1025.0;141.0;1.0;2.0;;;;;325.0;17.0;2166.0;;21590.0;17843.0
1205;1205;16.2;120.0;1000.0;10.0;;;;;32.0;;;;;;;;;;1000.0;;1000.0;;;;;;;;21.0;;;2.2;3.0;;;;;;355.7;16.8;248.1;;62392.0;51564.0
1206;1206;13.4;120.0;;12.0;1.7;4.4;28.0;12.0;16.0;;0.0;0.0;;;;;;;512.0;;512.0;1.0;1.0;;;;70.0;65.0;;4.0;;1.35;;;2.0;1.0;;;301.0;14.9;223.0;;22990.0;19000.0
1207;1207;16.2;120.0;1000.0;10.0;;;;;32.0;;;;;;;;;;512.0;;512.0;;;;;;100.0;140.0;21.0;;;2.1;;;3.0;;;;355.7;16.8;248.1;;60130.0;49694.0
1208;1208;14.0;60.0;;10.0;1.2;5.0;15.0;12.0;32.0;;2.0;2.0;;4.0;;;;;1000.0;;1000.0;1.0;1.0;;;;50.0;90.0;11.0;3.0;;1.48;1.0;2.0;;;;;318.2;17.8;225.5;;27990.0;23132.0
1209;1209;16.2;120.0;1000.0;10.0;;;;;16.0;;;;;;;;;;1000.0;;1000.0;;;;;;;;21.0;;;2.1;3.0;;;;;;355.7;16.8;248.1;;61581.0;50893.0
1210;1210;16.0;120.0;350.0;8.0;3.2;4.7;35.0;16.0;16.0;6400.0;;;;4.0;;;;;1000.0;;1000.0;1.0;1.0;;;;75.0;135.0;13.57;;;1.95;1.0;2.0;;;;;356.0;16.9;251.0;;30199.0;24958.0
1211;1211;15.6;;250.0;4.0;2.4;4.1;45.0;8.0;16.0;2400.0;1.0;1.0;;4.0;;;;;512.0;;512.0;;;;;;;;9.0;;;2.2;1.0;2.0;;;;;363.0;23.9;254.6;;16890.0;13959.0
1212;1212;16.0;60.0;300.0;14.0;3.5;4.7;45.0;24.0;16.0;4800.0;2.0;2.0;;6.0;60.0;;;;1000.0;;1000.0;1.0;1.0;;;;86.0;130.0;;6.0;;2.11;;2.0;1.0;;;;356.78;18.99;251.9;;40590.0;33545.0
1213;1213;15.6;144.0;300.0;6.0;2.6;5.0;45.0;12.0;16.0;2933.0;2.0;2.0;;6.0;;;;;1000.0;;1000.0;;;;;;60.0;;5.0;4.0;;2.3;1.0;4.0;;;;;363.06;23.57;259.61;;21991.0;18174.0
1214;1214;15.6;60.0;500.0;14.0;1.9;5.4;45.0;24.0;32.0;4800.0;2.0;2.0;;8.0;115.0;2175.0;;;1000.0;;1000.0;1.0;2.0;;;;86.0;130.0;;6.0;;1.92;1.0;;2.0;;;;344.72;18.0;230.14;;79990.0;66107.0
1215;1215;16.0;165.0;500.0;8.0;3.2;4.4;45.0;16.0;32.0;3200.0;2.0;2.0;;8.0;140.0;1620.0;5120.0;;1000.0;;1000.0;1.0;;0.0;0.0;;80.0;300.0;8.0;4.0;;2.5;3.0;;;;;;356.0;23.5;261.04;;42990.0;35529.0
1216;1216;16.0;120.0;500.0;14.0;18.0;48.0;45.0;24.0;64.0;4800.0;2.0;2.0;;16.0;;;;;2000.0;;2000.0;1.0;1.0;;;;86.0;200.0;;6.0;;173.0;1.0;1.0;2.0;;;;356.0;19.0;242.0;;124990.0;103298.0
1217;1217;15.6;144.0;300.0;8.0;2.3;5.1;45.0;16.0;16.0;3200.0;2.0;2.0;;8.0;;;;;1000.0;;1000.0;;;;;;80.0;;8.0;4.0;;2.25;2.0;1.0;;2.0;;;359.34;19.9;259.04;;33990.0;28091.0
1218;1218;13.0;;450.0;10.0;;4.4;55.0;12.0;8.0;;;;;;;;;;256.0;;256.0;;;;;;47.7;;15.5;;;0.88;;;2.0;;;;209.0;9.3;287.0;;34190.0;28256.0
1219;1219;15.6;144.0;500.0;8.0;2.3;5.1;45.0;16.0;16.0;3200.0;2.0;2.0;;8.0;;;;;1000.0;;1000.0;;;;;;80.0;;8.0;;;2.25;1.0;1.0;;;;;359.34;19.9;259.04;;27990.0;23132.0
1220;1220;14.0;60.0;400.0;12.0;1.6;5.0;28.0;18.0;16.0;4800.0;1.0;2.0;;;;;;;512.0;;512.0;1.0;1.0;;;;51.0;65.0;13.5;3.0;;1.36;;2.0;2.0;;;;315.6;19.2;224.0;;40090.0;33132.0
1221;1221;16.0;165.0;500.0;12.0;2.5;4.5;45.0;18.0;16.0;4800.0;2.0;2.0;;6.0;140.0;1702.0;;;1000.0;;1000.0;1.0;2.0;;;;80.0;300.0;6.55;;;2.4;2.0;3.0;1.0;;;;356.0;26.6;260.4;;30790.0;25446.0
1222;1222;14.0;60.0;250.0;12.0;2.1;4.7;28.0;18.0;16.0;4800.0;1.0;2.0;;4.0;;;;;512.0;;512.0;1.0;1.0;;;;64.0;130.0;;4.0;;1.49;;2.0;2.0;;;;321.35;23.6;212.0;;33690.0;27843.0
1223;1223;16.0;165.0;500.0;8.0;3.2;4.4;45.0;16.0;32.0;3200.0;2.0;2.0;;8.0;140.0;1620.0;5120.0;;1000.0;;1000.0;1.0;;0.0;0.0;;80.0;300.0;8.0;4.0;;2.5;3.0;;;;;;356.0;23.5;261.04;;37990.0;31397.0
1224;1224;15.6;60.0;400.0;14.0;1.9;5.4;45.0;24.0;32.0;4800.0;2.0;2.0;;8.0;115.0;2175.0;;;1000.0;;1000.0;1.0;2.0;0.0;0.0;;86.0;130.0;;6.0;;1.96;1.0;;2.0;;;;344.72;18.0;230.14;;86890.0;71810.0
1225;1225;15.6;144.0;500.0;6.0;2.6;4.5;45.0;12.0;16.0;2666.0;;;;8.0;;;;;1000.0;;1000.0;;;;;;57.0;;;3.0;;2.3;1.0;;;;;;365.0;24.2;260.0;;29490.0;24372.0
1226;1226;16.0;60.0;300.0;10.0;0.9;4.6;15.0;12.0;16.0;3200.0;1.0;1.0;;2.0;25.0;1320.0;;;512.0;;512.0;1.0;2.0;0.0;0.0;;57.0;65.0;;;;1.81;1.0;2.0;1.0;;1.0;;356.1;19.85;247.7;;23590.0;19496.0
1227;1227;15.6;165.0;300.0;6.0;3.3;4.2;15.0;16.0;16.0;3200.0;2.0;2.0;;8.0;;;;;1000.0;;1000.0;1.0;2.0;0.0;0.0;;80.0;230.0;10.4;;;2.4;2.0;4.0;;;;;362.56;25.75;260.61;;28989.0;23958.0
1228;1228;16.0;60.0;300.0;8.0;2.0;4.5;15.0;16.0;16.0;3200.0;2.0;2.0;;;;;;;512.0;;512.0;1.0;2.0;0.0;0.0;;57.0;65.0;;;;1.81;2.0;2.0;;;;;356.1;19.85;247.5;;23990.0;19826.0
1229;1229;15.6;120.0;250.0;8.0;1.5;4.4;95.0;12.0;8.0;3200.0;1.0;2.0;;4.0;85.0;1740.0;;;512.0;;512.0;1.0;2.0;0.0;0.0;;60.0;170.0;7.7;;;2.31;;2.0;1.0;;;;359.6;21.8;266.4;;17989.0;14867.0
1230;1230;16.0;;400.0;12.0;;4.6;;12.0;16.0;4800.0;2.0;2.0;;;;;;;512.0;;512.0;;;;;;76.0;100.0;;6.0;;1.73;2.0;2.0;;;;;358.7;19.2;251.0;;33990.0;28091.0
1231;1231;16.0;240.0;500.0;16.0;2.1;5.0;157.0;30.0;16.0;4800.0;2.0;2.0;;8.0;140.0;2370.0;;;1000.0;;1000.0;1.0;2.0;;;;80.0;300.0;6.5;;;2.55;2.0;4.0;;;;;363.4;26.75;260.35;;39989.0;33049.0
1232;1232;14.5;120.0;400.0;14.0;3.7;5.0;45.0;24.0;32.0;;;;;6.0;;;;;1000.0;;1000.0;1.0;1.0;;;;76.0;100.0;10.0;4.0;;1.55;;1.0;2.0;1.0;;;322.79;17.9;228.12;;44990.0;37182.0
1233;1233;16.0;165.0;500.0;16.0;1.5;4.8;55.0;25.0;32.0;4800.0;2.0;2.0;;8.0;150.0;1485.0;;;1000.0;;1000.0;1.0;2.0;;;;99.99;300.0;9.8;;;2.53;2.0;2.0;2.0;;;;358.1;19.4;263.5;;62999.0;52065.0
1234;1234;17.0;60.0;500.0;14.0;1.9;5.4;45.0;24.0;32.0;4800.0;2.0;2.0;;8.0;115.0;2175.0;;;1000.0;;1000.0;1.0;1.0;;;;97.0;130.0;;6.0;;2.57;;;4.0;;;;374.48;13.15;248.08;;100690.0;83215.0
1235;1235;156.0;60.0;300.0;10.0;12.0;47.0;15.0;12.0;16.0;3200.0;2.0;2.0;;2.0;;;;;1000.0;;1000.0;;1.0;;;;41.0;65.0;;3.0;65.0;175.0;1.0;2.0;;;;;3602.0;179.0;234.0;;24990.0;20653.0
1236;1236;133.0;;500.0;8.0;;;;;8.0;;;;;;;;;;512.0;;512.0;;;;;;58.0;;;;20.0;14.0;2.0;;2.0;;;;3041.0;156.0;2124.0;;44990.0;37182.0
1237;1237;10.51;;;2.0;1.1;3.4;5.0;4.0;8.0;;;;;;;;;;128.0;;128.0;;;;;;;;;;11.0;0.54;1.0;;;;;;245.0;8.3;175.0;;15990.0;13215.0
1238;1238;17.3;144.0;;24.0;4.0;5.6;55.0;36.0;32.0;;2.0;4.0;;12.0;175.0;;;;2000.0;;2000.0;1.0;3.0;;;;99.0;330.0;;4.0;;3.3;;;2.0;3.0;;;397.0;23.0;330.0;;89990.0;74372.0
1239;1239;14.0;;250.0;4.0;2.4;4.2;15.0;8.0;8.0;;;;;;;;;;256.0;;256.0;;;;;;42.0;;;3.0;;1.45;1.0;;;2.0;1.0;;323.4;19.2;215.6;;16990.0;14041.0
1240;1240;17.3;360.0;300.0;14.0;3.5;4.7;45.0;24.0;32.0;4800.0;2.0;2.0;;16.0;175.0;1590.0;;;1000.0;;1000.0;1.0;2.0;;;;87.0;330.0;;6.0;;2.99;1.0;2.0;1.0;;;;399.23;14.75;299.57;;87990.0;72719.0
1241;1241;14.0;;300.0;10.0;3.5;4.7;15.0;12.0;32.0;3200.0;1.0;2.0;;;;;;;1000.0;;1000.0;1.0;1.0;0.0;0.0;;60.0;65.0;11.5;4.0;;1.13;;;2.0;2.0;;;322.0;18.9;211.0;;36890.0;30488.0
1242;1242;15.6;144.0;;12.0;2.5;4.5;95.0;18.0;8.0;3200.0;1.0;2.0;;6.0;75.0;2130.0;;;512.0;;512.0;1.0;2.0;;;;54.0;150.0;;;;1.9;2.0;1.0;;;1.0;;360.0;22.7;238.0;;24590.0;20322.0
1243;1243;14.0;60.0;300.0;10.0;0.9;4.4;55.0;12.0;8.0;3200.0;0.0;1.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;39.0;65.0;19.9;;;1.21;;2.0;2.0;;;;317.7;17.9;226.9;;29390.0;24289.0
1244;1244;15.6;120.0;;14.0;2.3;4.7;45.0;24.0;32.0;4800.0;2.0;2.0;;16.0;105.0;;;;1000.0;;1000.0;1.0;2.0;;;;99.9;240.0;;4.0;;2.1;3.0;;1.0;2.0;;;358.3;19.8;248.0;;95990.0;79331.0
1245;1245;14.0;60.0;300.0;8.0;2.0;4.5;15.0;16.0;16.0;4266.0;0.0;0.0;;;;;;;1000.0;;1000.0;1.0;1.0;0.0;0.0;;52.5;65.0;15.0;;;1.55;1.0;2.0;;;;;313.1;17.8;224.9;;22290.0;18421.0
1246;1246;136.0;;500.0;8.0;;;;;24.0;;;;;;;;;;2000.0;;2000.0;;;;;;526.0;67.0;;;18.0;124.0;;;2.0;;;;304.0;113.0;215.0;;76590.0;63298.0
1247;1247;14.0;60.0;250.0;4.0;2.4;4.2;28.0;8.0;8.0;2666.0;1.0;2.0;;;;;;;512.0;;512.0;1.0;1.0;;;;41.0;65.0;;3.0;;1.49;;1.0;;;1.0;;321.27;19.48;220.26;;22290.0;18421.0
1248;1248;13.3;;;8.0;;;;4.0;8.0;;;;;;;;;;256.0;;256.0;;;;;;50.0;;18.0;;;1.25;2.0;;;;;;304.0;16.1;212.0;;19637.0;16229.0
1249;1249;14.0;;;4.0;2.8;4.7;28.0;12.0;8.0;3200.0;1.0;2.0;;;;;;;512.0;;512.0;1.0;1.0;;;;54.0;65.0;;4.0;;1.49;1.0;1.0;;;1.0;;321.27;19.48;220.26;;24390.0;20157.0
1250;1250;13.4;120.0;500.0;14.0;2.3;4.7;45.0;24.0;16.0;;;;;4.0;40.0;1107.5;;;512.0;;512.0;1.0;;;;;56.0;100.0;;4.0;;1.8;1.0;;1.0;;1.0;;302.0;12.0;204.0;;48961.0;40464.0
1251;1251;14.0;120.0;500.0;10.0;1.3;5.2;15.0;12.0;64.0;4800.0;2.0;2.0;;4.0;60.0;;;;2000.0;;2000.0;1.0;1.0;0.0;0.0;;51.0;65.0;11.25;3.0;;1.45;;2.0;2.0;;;;315.6;19.9;224.3;;49690.0;41066.0
1252;1252;14.2;120.0;1000.0;10.0;;;;;32.0;;;;;;;;;;1000.0;;1000.0;;;;;;70.0;67.0;18.0;;;1.6;;;3.0;;;;312.6;15.5;221.2;;63901.0;52811.0
1253;1253;12.45;60.0;;10.0;;4.4;55.0;12.0;16.0;;;;;;;;;;256.0;;;;;;;;;39.0;15.0;4.0;;1.13;1.0;1.0;;;;;278.18;15.69;206.17;;27190.0;22471.0
1254;1254;15.6;120.0;250.0;8.0;3.2;4.75;35.0;16.0;16.0;4800.0;2.0;2.0;;6.0;85.0;2370.0;;;512.0;;512.0;1.0;2.0;0.0;0.0;;60.0;170.0;;3.0;;2.32;1.0;2.0;;;;;359.6;21.8;266.4;;30590.0;25281.0
1255;1255;16.0;165.0;;14.0;;5.0;45.0;24.0;32.0;4800.0;0.0;0.0;;;45.0;1170.0;;;1000.0;;1000.0;1.0;1.0;;;;82.0;150.0;;4.0;;2.1;2.0;;;1.0;;;358.0;16.85;258.55;;41990.0;34702.0
1256;1256;13.3;;;4.0;2.4;4.1;;;16.0;2133.0;;;;;;;;;256.0;;256.0;;;;;;;;10.0;;;1.37;4.0;;;;;;304.1;14.9;212.4;;22354.0;18474.0
1257;1257;14.0;60.0;300.0;10.0;0.9;4.6;55.0;12.0;16.0;5200.0;0.0;1.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;52.5;65.0;9.5;;;1.36;;2.0;2.0;;;;317.7;17.9;226.9;;37290.0;30818.0
1258;1258;15.6;240.0;500.0;4.0;2.5;4.5;45.0;8.0;16.0;2933.0;2.0;2.0;;6.0;;;1920.0;14200.0;512.0;;512.0;;;;;;80.0;;7.5;4.0;;2.46;1.0;4.0;;;;;363.06;26.1;259.61;;18605.0;15376.0
1259;1259;16.0;120.0;400.0;14.0;2.6;5.4;45.0;24.0;32.0;7467.0;;;;12.0;;;;;2000.0;;2000.0;1.0;1.0;0.0;0.0;;96.0;280.0;;6.0;;2.4;;;2.0;1.0;;;355.0;17.8;251.0;;106990.0;88421.0
1260;1260;13.3;60.0;300.0;8.0;2.0;4.5;15.0;16.0;16.0;4266.0;;0.0;;;;;;;1000.0;;1000.0;1.0;1.0;0.0;0.0;;59.0;45.0;17.0;;;1.37;2.0;2.0;;;;;304.0;17.45;218.0;;25490.0;21066.0
1261;1261;16.0;60.0;300.0;8.0;2.0;4.5;15.0;16.0;16.0;4266.0;;0.0;;;;;;;1000.0;;1000.0;1.0;1.0;0.0;0.0;;52.5;65.0;14.0;;;2.1;1.0;2.0;;;;;357.8;18.7;253.9;;24199.0;19999.0
1262;1262;15.6;60.0;400.0;14.0;2.6;5.4;45.0;24.0;32.0;4800.0;2.0;2.0;;8.0;;;;;1000.0;;1000.0;1.0;2.0;;;;86.0;130.0;;6.0;;1.96;1.0;;2.0;;;;344.72;18.0;230.14;;79490.0;65694.0
1263;1263;14.0;;400.0;8.0;2.0;45.0;15.0;16.0;16.0;3200.0;2.0;2.0;;;;;;;1000.0;;1000.0;;;;;;43.0;65.0;;3.0;1025.0;141.0;1.0;2.0;;;;;325.0;17.0;2166.0;;22990.0;19000.0
1264;1264;14.0;60.0;400.0;10.0;1.2;5.0;55.0;12.0;16.0;6400.0;0.0;0.0;;;;;;;1000.0;;1000.0;1.0;1.0;0.0;0.0;;57.0;65.0;28.5;;;1.12;;2.0;2.0;;;;315.6;15.36;222.5;;55290.0;45694.0
1265;1265;15.6;60.0;250.0;10.0;3.5;4.7;15.0;12.0;16.0;3200.0;2.0;2.0;;;;;;;256.0;;256.0;1.0;1.0;;0.0;;54.0;65.0;;3.0;;1.61;;2.0;2.0;;;;357.8;22.8;233.3;;30290.0;25033.0
1266;1266;15.6;;250.0;6.0;2.3;4.3;15.0;16.0;8.0;3200.0;1.0;2.0;;;;;;;512.0;;512.0;;;;;;42.0;45.0;16.0;3.0;;1.74;1.0;3.0;;;;;359.4;19.9;233.9;;25190.0;20818.0
1267;1267;15.0;;;10.0;1.7;4.7;55.0;12.0;8.0;;;;;;;;;;256.0;;256.0;;;;;;47.4;65.0;;;;1.56;1.0;1.0;;;;;339.5;14.7;244.0;;30990.0;25612.0
1268;1268;14.0;60.0;250.0;6.0;1.2;4.4;15.0;10.0;8.0;3200.0;1.0;2.0;;;;;;;256.0;;256.0;1.0;1.0;0.0;1.0;;48.0;65.0;;3.0;;1.7;1.0;1.0;1.0;;1.0;;339.5;20.0;239.9;;16990.0;14041.0
1269;1269;14.0;60.0;;10.0;;4.6;15.0;12.0;16.0;3200.0;;;;;;;;;512.0;;512.0;1.0;1.0;;;;39.3;65.0;6.0;3.0;;1.4;1.0;;;1.0;2.0;;319.9;19.35;223.0;;17990.0;14868.0
1270;1270;14.0;60.0;425.0;12.0;3.5;4.7;45.0;18.0;16.0;;0.0;0.0;;;;;;;512.0;;512.0;1.0;2.0;;;;56.0;100.0;10.0;3.0;;1.2;2.0;2.0;;;;;310.5;14.95;213.3;;31990.0;26438.0
1271;1271;14.0;60.0;400.0;8.0;1.9;4.4;15.0;16.0;16.0;3200.0;0.0;1.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;50.0;65.0;15.8;;;1.55;2.0;2.0;;;;;329.0;17.9;227.0;;43390.0;35860.0
1272;1272;14.0;60.0;250.0;10.0;0.9;4.6;15.0;12.0;8.0;2666.0;1.0;2.0;;;;;;;512.0;;512.0;1.0;1.0;;;;41.0;65.0;;3.0;;1.46;1.0;1.0;;;1.0;;323.67;19.48;220.26;;21290.0;17595.0
1273;1273;14.0;60.0;300.0;8.0;2.0;4.5;15.0;16.0;16.0;4266.0;;0.0;;;;;;;1000.0;;1000.0;1.0;1.0;0.0;0.0;;52.5;65.0;;;;1.55;1.0;2.0;;;;;313.1;17.8;224.9;;24199.0;19999.0
1274;1274;15.6;60.0;;4.0;2.4;4.2;28.0;8.0;8.0;;;0.0;;;;;;;256.0;;256.0;1.0;;;;;56.0;45.0;10.0;3.0;;1.7;1.0;2.0;;;;;357.9;24.86;240.5;;16490.0;13628.0
1275;1275;14.0;60.0;;10.0;3.5;4.7;15.0;12.0;16.0;;0.0;0.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;1.0;;65.0;45.0;7.0;3.0;;1.49;1.0;3.0;;;;;328.1;17.9;221.2;;21890.0;18091.0
1276;1276;14.0;60.0;425.0;12.0;3.4;4.7;28.0;18.0;16.0;;0.0;0.0;;;;;;;1000.0;;1000.0;1.0;2.0;;;;56.0;65.0;10.0;3.0;;1.2;2.0;2.0;;;;;310.5;14.95;213.3;;34990.0;28917.0
1277;1277;17.3;60.0;300.0;10.0;1.2;5.0;15.0;12.0;8.0;3200.0;;1.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;45.0;65.0;8.4;;;2.02;1.0;1.0;;;1.0;;399.0;19.9;274.0;;24390.0;20157.0
1278;1278;14.0;60.0;300.0;12.0;1.7;4.4;28.0;12.0;16.0;4800.0;;;;;;;;;512.0;;512.0;1.0;1.0;;;;65.0;65.0;14.7;;;1.35;;1.0;2.0;;;;312.0;14.9;221.0;;22690.0;18752.0
1279;1279;16.0;120.0;300.0;12.0;1.9;4.6;28.0;12.0;16.0;4800.0;0.0;0.0;;4.0;;;;;512.0;;512.0;1.0;1.0;;;;54.0;65.0;;4.0;;1.94;;2.0;1.0;;;;356.78;18.2;251.7;;30390.0;25116.0
1280;1280;13.0;;450.0;10.0;;4.4;55.0;12.0;16.0;;;;;;;;;;256.0;;256.0;;;;;;47.7;;15.5;;;0.88;;;2.0;;;;209.0;9.3;287.0;;46390.0;38339.0
1281;1281;13.3;60.0;;12.0;;5.0;28.0;18.0;16.0;4800.0;0.0;0.0;;;;;;;1000.0;;1000.0;1.0;1.0;;;;75.0;65.0;16.0;4.0;;0.99;;;2.0;1.0;;;299.0;16.9;210.0;;35990.0;29744.0
1282;1282;15.6;;300.0;6.0;2.0;4.5;15.0;16.0;16.0;;;;;;;;;;1000.0;;1000.0;1.0;1.0;;;;50.0;65.0;12.0;3.0;;1.74;1.0;2.0;;;;;362.9;17.9;239.6;;17990.0;14868.0
1283;1283;14.0;;;10.0;3.7;5.0;15.0;12.0;16.0;;;;;;;;;;1000.0;;1000.0;1.0;1.0;;;;50.0;65.0;8.0;3.0;;1.6;;2.0;1.0;;;;318.2;17.99;225.5;;24990.0;20653.0
1284;1284;17.3;60.0;500.0;20.0;1.5;5.3;55.0;30.0;16.0;4800.0;1.0;1.0;;8.0;95.0;1678.0;;;512.0;;512.0;1.0;4.0;;;;93.0;240.0;;6.0;;3.02;1.0;2.0;2.0;;;;398.0;26.7;265.02;;64990.0;53711.0
1285;1285;16.0;60.0;250.0;10.0;1.7;4.7;15.0;12.0;16.0;3200.0;2.0;2.0;;2.0;;;;;512.0;;512.0;1.0;1.0;;;;54.0;65.0;;4.0;;1.97;1.0;2.0;;;;;356.78;17.95;251.9;;28990.0;23959.0
1286;1286;17.3;60.0;300.0;8.0;2.5;4.8;45.0;24.0;16.0;3200.0;1.0;4.0;;4.0;95.0;1687.0;;;512.0;;512.0;1.0;4.0;;;;94.0;150.0;;8.0;;2.76;;3.0;2.0;;;;398.4;26.9;267.1;;49690.0;41066.0
1287;1287;16.0;60.0;400.0;12.0;1.6;5.0;28.0;18.0;32.0;3200.0;;0.0;;4.0;50.0;1550.0;;;2000.0;;2000.0;1.0;1.0;0.0;0.0;;83.0;135.0;9.0;6.0;;2.01;;1.0;2.0;;;;358.0;19.9;245.3;;58690.0;48504.0
1288;1288;16.0;60.0;300.0;6.0;2.0;4.5;15.0;16.0;8.0;3200.0;;0.0;;;;;;;512.0;;512.0;1.0;1.0;;;;75.4;65.0;;;;1.89;2.0;2.0;;;;;356.0;16.9;251.0;;15989.0;13214.0
