;id;Display -> Display size;Display -> Display refresh rate;Display -> Luminosity;Processor -> Number of processor cores;Processor -> Processor frequency;Processor -> Core boost frequency;Processor -> TDP;Processor -> Cache processor;Memory -> Size of operational RAM;Memory -> Memory frequency;Memory -> Number of installed slots;Memory -> Total number of slots;Memory -> Intel Optane;Graphics card -> Graphics card memory;Graphics card -> Maximum Graphic Power (TGP);Graphics card -> Boost clock;Graphics card -> Number of stream processors;Graphics card -> GPU Passmark;Hard drive -> Storage capacity;Hard drive -> HDD capacity;Hard drive -> SSD capacity;Hard drive -> Number of occupied slots M.2;Hard drive -> Slots in total M.2;"Hard drive -> Number of occupied slots 2.5""";"Hard drive -> Slots in total 2.5""";Hard drive -> Number of free slots;Battery -> Battery capacity;Battery -> Charging power;Battery -> Maximum battery capacity;Battery -> Number of cells;Battery -> Standby time;Weight -> Weight;Interface -> USB-C;Interface -> USB 3.2 Gen 1 (USB 3.0);Interface -> Thunderbolt / USB 4;Interface -> USB 3.2 Gen 2;Interface -> USB 2.0;Interface -> USB 3.2 Gen 2x2;Dimensions -> Width;Dimensions -> Maximum height;Dimensions -> Depth;Unnamed: 42;Price;Price without VAT
2240;2240;14.0;;250.0;6.0;;4.4;;10.0;16.0;3200.0;2.0;;;;;;;;512.0;;512.0;;;;;;41.0;45.0;8.0;3.0;;1.46;1.0;2.0;;;;;324.0;17.9;225.0;;15490.0;12802.0
2241;2241;15.6;60.0;250.0;10.0;0.9;4.6;15.0;12.0;16.0;3200.0;2.0;2.0;;;;;;;512.0;;512.0;1.0;1.0;;;;41.0;45.0;7.75;3.0;;1.59;1.0;2.0;;;;;359.8;18.6;236.0;;17690.0;14620.0
2242;2242;14.0;60.0;300.0;8.0;27.0;47.0;28.0;16.0;16.0;6400.0;;0.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;525.0;65.0;;;;14.0;2.0;2.0;;;;;3177.0;179.0;2269.0;;40190.0;33215.0
2243;2243;14.0;60.0;250.0;10.0;0.9;4.6;15.0;12.0;16.0;3200.0;;0.0;;;;;;;1000.0;;1000.0;1.0;1.0;0.0;0.0;;43.0;65.0;9.5;3.0;;1.52;1.0;2.0;;;;;322.0;19.9;210.0;;23990.0;19826.0
2244;2244;14.0;60.0;250.0;10.0;0.9;4.6;15.0;12.0;16.0;3200.0;;0.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;43.0;65.0;9.5;3.0;;1.52;1.0;2.0;;;;;322.0;19.9;210.0;;23290.0;19248.0
2245;2245;13.3;60.0;400.0;6.0;2.9;4.5;28.0;16.0;16.0;6400.0;;;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;52.0;65.0;28.2;;;1.26;2.0;;;;;;294.4;13.99;199.6;;37990.0;31397.0
2246;2246;13.0;60.0;450.0;;;;;;16.0;;;;;;;;;;512.0;;512.0;;;;;;47.7;;19.0;;;0.88;;;2.0;;;;209.0;9.3;287.0;;59690.0;49331.0
2247;2247;15.6;60.0;500.0;8.0;2.0;4.5;15.0;16.0;16.0;3200.0;2.0;2.0;;;;;;;1000.0;;1000.0;1.0;;;;;51.0;65.0;11.75;3.0;;1.71;2.0;2.0;;;;;359.0;18.6;229.0;;27190.0;22471.0
2248;2248;16.0;60.0;300.0;12.0;1.2;4.4;64.0;12.0;16.0;3200.0;1.0;1.0;;4.0;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;53.0;100.0;;;;1.67;;2.0;2.0;;;;361.9;20.83;255.5;;40690.0;33628.0
2249;2249;13.3;60.0;400.0;10.0;0.9;4.6;15.0;12.0;16.0;4800.0;;0.0;;;;;;;512.0;;512.0;1.0;1.0;;;;54.7;65.0;;;;1.21;;2.0;2.0;;;;301.7;16.4;214.6;;37090.0;30653.0
2250;2250;14.4;120.0;;4.0;3.3;4.8;35.0;12.0;32.0;;;;;4.0;;;;;2000.0;;2000.0;1.0;1.0;;;;;;18.0;;;1.82;;;2.0;;;;323.28;18.94;228.32;;81990.0;67760.0
2251;2251;13.3;60.0;400.0;10.0;1.2;5.0;15.0;12.0;16.0;4800.0;;0.0;;;;;;;1000.0;;1000.0;1.0;1.0;;;;54.7;65.0;;;;1.21;;2.0;2.0;;;;301.7;16.4;214.6;;56290.0;46521.0
2252;2252;14.0;;1000.0;10.0;;4.7;;12.0;16.0;4800.0;2.0;2.0;;;;;;;512.0;;512.0;;;;;;51.0;65.0;;3.0;;1.16;;2.0;2.0;;;;315.6;19.2;224.0;;47990.0;39661.0
2253;2253;15.6;60.0;250.0;6.0;0.9;4.5;15.0;10.0;8.0;3200.0;1.0;2.0;;;;;;;256.0;;256.0;1.0;1.0;;;;54.0;65.0;;3.0;;1.81;1.0;3.0;;;;;359.0;20.4;239.69;;20890.0;17264.0
2254;2254;15.6;60.0;;4.0;2.0;3.7;28.0;8.0;8.0;;1.0;2.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;1.0;;48.0;65.0;12.0;3.0;;1.8;1.0;3.0;;;;;363.0;19.9;255.0;;15390.0;12719.0
2255;2255;14.0;;;6.0;2.3;4.2;15.0;16.0;8.0;;1.0;2.0;;;;;;;512.0;;512.0;1.0;1.0;;1.0;;48.0;65.0;13.5;4.0;;1.63;1.0;3.0;;;;;328.0;19.9;236.0;;16690.0;13793.0
2256;2256;16.0;60.0;400.0;8.0;3.3;5.1;30.0;16.0;64.0;7500.0;0.0;0.0;;;;;;;2000.0;;2000.0;1.0;1.0;;;;86.0;65.0;;;;1.7;1.0;2.0;1.0;;;;361.98;20.5;255.5;;55490.0;45860.0
