id;name;Price [CZK];Price without VAT [CZK];Rating;rating_count;availability;"Display size [""]";Resolution;Display technology;Screen fineness [PPI];Computer memory (RAM) size [GB];Storage Capacity [GB];Memory card type;Max. memory card size [GB];Wireless technology;Tablet connectors;Sensors;Main (rear) camera resolution [Mpx];Front-facing (selfie) camera resolution [Mpx];Maximum video resolution;Supported resolutions and frame rates (FPS);Camera functions;Battery capacity [mAh];Charging performance [W];Number of processor cores;Processor frequency [GHz];Processor model;Functions;Operating system;Operating system version;Height [mm];Width [mm];Depth [mm];Weight [kg];Colour;Package includes;Series;Country;Storage capacity [GB];Main rear camera aperture [f/];Front Camera Aperture [f/];Degree of protection;Graphics chip;Supported cellular networks;Primary SIM card type;Secondary SIM Card Type;Special event;Supported formats;User interface language;Equipment;Internal memory [GB];Suitable for;Usage;Must additionally purchase AA batteries;Battery type
39;iPad mini 64GB Space Grey 2021;14990;12388;4.9;16.0;In stock > 5 pcs;8.3;2266 × 1488 px;['IPS'];326.0;4.0;64.0;['Does not support'];;['WiFi', 'Bluetooth'];['USB-C'];['Gyroscope', 'Light sensor', 'Barometer'];12.0;;3840 × 2160 px;['2160p (4K) 60fps', '2160p (4K) 30fps', '1080p (Full HD) 60fps', '1080p (Full HD) 30fps', '1080p (Full HD) 120fps', '1080p (Full HD) 240fps', '720p (HD) 30fps'];['Flash function'];5.124;;;;Apple A15 Bionic;;['iPadOS'];;195.4;134.8;6.3;0.293;['Carbon'];['Charger (adapter with cable)'];;;;1.8;2.4;;;;;;;;;;;;;;
40;Samsung Galaxy Tab S9+ Wifi 12GB/512GB grafitová;29499;24379;5.0;4.0;In stock > 5 pcs;12.4;2800 × 1752 px;['AMOLED'];266.0;12.0;512.0;['Micro SD'];1.024;['WiFi', 'Bluetooth', 'GPS'];['USB-C'];['Motion sensor', 'Digital compass', 'Gyroscope', 'Light sensor', 'Fingerprint reader'];13.0;12.0;3840 × 2160 px;['2160p (4K) 60fps', '2160p (4K) 30fps', '1080p (Full HD) 30fps'];['Optical zoom', 'Flash function'];10.09;45.0;8.0;2.8;Qualcomm Snapdragon 8 Gen 2;['Quick charging', 'Water-resistant'];['Google Android'];Android 13;285.4;185.4;5.7;0.581;['Grey'];['Charging cable', 'Stylus'];Samsung Galaxy Tab;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;2.2;2.4;['IP68'];Adreno 740;;;;;;;;;;;;
41;"iPad Pro 11"" 256GB Cellular M2 Space Grey 2022";31190;25777;4.9;8.0;In stock > 5 pcs;11.0;2388 × 1668 px;['IPS'];264.0;;;['Does not support'];;['WiFi', 'Bluetooth'];['USB-C'];['Motion sensor', 'Digital compass', 'Gyroscope', 'Light sensor'];12.0;12.0;;;;;;;;Apple M2 with 10-core GPU;;['iPadOS'];;247.6;178.5;5.9;0.468;['Grey'];;Apple iPad;;256.0;;;;;['5G', '4G/LTE', '3G'];;;Digital student SK;;;;;;;;
42;Samsung Galaxy Tab S9 FE+ 12GB/256GB šedá;19490;16107;5.0;1.0;In stock > 5 pcs;12.4;2560 × 1600 px;['TFT'];244.0;12.0;;['Micro SD'];1000.0;['NFC', 'WiFi', 'Bluetooth', 'GPS'];['USB-C'];['Motion sensor', 'Gyroscope', 'Light sensor', 'G-sensor', 'Fingerprint reader'];8.0;12.0;3840 × 2160 px;['2160p (4K) 30fps'];;10090.0;45.0;8.0;2.4;Exynos1380;['OTG', 'Quick charge', 'Gorilla Glass', 'Water-resistant'];['Google Android'];Android 13;185.4;285.4;6.5;0.627;['Grey'];;Samsung Galaxy Tab;;256.0;1.9;2.4;['IP68'];ARM Mali G68 MP5;;;;;;;;;;;;
43;Umidigi G1 Tab 4GB/64GB šedý;1859;1536;4.4;8.0;In stock > 5 pcs;10.1;1280 × 800 px;['IPS'];149.5;4.0;64.0;['Micro SDXC'];1.024;['WiFi', 'Bluetooth'];['USB-C', 'Headphone output (3.5mm jack)'];['Light sensor', 'G-sensor'];8.0;8.0;1920 × 1080 px;['1080p (Full HD) 30fps', '720p (HD) 30fps'];['Flash function'];6.0;10.0;4.0;2.0;Rockchip RK3562;['Quick charging'];['Google Android'];Android 13;162.2;244.8;9.3;0.5760000000000001;['Grey'];['Charger (adapter with cable)', 'Screen Protector'];;;;2.2;2.2;;ARM Mali-G52 MC2;;;;;;;;;;;;
44;UleFone Armor Pad (NFC) 4GB/64GB černý;3599;2974;4.4;5.0;In stock;8.0;1280 × 800 px;['IPS'];188.0;4.0;64.0;['Micro SD'];256.0;['NFC', 'WiFi', 'Bluetooth', 'GPS'];['USB-C', 'Headphone output (3.5mm jack)'];['Motion sensor', 'Digital compass', 'Light sensor'];13.0;5.0;1920 × 1080 px;['1080p (Full HD) 30fps', '720p (HD) 30fps'];['Flash function'];7.65;18.0;8.0;2.0;MediaTek Helio G25;['VoLTE/GSM', 'OTG', 'Quick charging', 'Water-resistant'];['Google Android'];Android 12;213.0;128.8;14.0;0.56;['Black'];['Charger (adapter with cable)', 'Screen Protector'];;;;2.2;2.0;['IP68', 'IP69K'];IMG GE8320;['4G/LTE', '3G'];Nano SIM;Nano SIM;;;;;;;;;
45;Lenovo Tab M10 Plus (3rd Gen) 4GB + 128GB LTE Storm Grey;5899;4875;4.4;18.0;In stock > 5 pcs;10.61;1200 × 2000 px;['IPS'];;4.0;128.0;['Micro SDXC'];1.0;['WiFi', 'Bluetooth', 'GPS', 'A-GPS'];['USB-C', 'Headphone output (3.5mm jack)'];['Gyroscope', 'Light sensor', 'Proximity sensor', 'G-sensor'];8.0;8.0;;;;7.5;;8.0;2.4;Qualcomm Snapdragon SDM680;['OTG'];['Google Android'];Android 13;251.2;158.8;7.45;0.465;['Grey'];['Charger (adapter with cable)'];Lenovo Tab;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;Qualcomm Adreno 610;['4G/LTE', '3G'];;;Digital student SK;;;;;;;;
46;"iPad Pro 12.9"" 128GB M2 Space Grey 2022";32590;26934;5.0;5.0;In stock > 5 pcs;12.9;2732 × 2048 px;['IPS'];264.0;;;['Does not support'];;['NFC', 'WiFi', 'Bluetooth'];['USB-C'];['Gyroscope', 'Light sensor', 'Barometer'];12.0;12.0;3840 × 2160 px;['4320p (8K) 30fps', '2160p (4K) 60fps', '2160p (4K) 24fps', '1080p (Full HD) 60fps', '1080p (Full HD) 30fps', '1080p (Full HD) 120fps', '1080p (Full HD) 240fps'];['Flash function'];;20.0;8.0;;Apple M2 with 10-core GPU;['Quick charge'];['iPadOS'];;214.9;280.6;6.4;0.682;['Grey'];['Charger (adapter with cable)'];Apple iPad;;128.0;1.8;2.4;;;;;;;;;;;;;;
47;Samsung Galaxy Tab A8 WiFi Silver;4490;3711;4.7;26.0;In stock > 5 pcs;10.5;1920 × 1200 px;['TFT'];216.0;3.0;;['Micro SD'];1000.0;['WiFi', 'Bluetooth'];['USB-C', 'Headphone output (3.5mm jack)'];['Motion sensor', 'Digital compass', 'Gyroscope', 'Light sensor'];8.0;5.0;1920 × 1080 px;['1080p (Full HD) 30fps'];['Flash function'];7040.0;15.0;8.0;2.0;Unisoc Tiger T618;['Quick charge'];['Google Android'];Android 11;246.8;161.9;6.9;0.508;['Silver'];['Charger (adapter with cable)'];Samsung Galaxy Tab;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];32.0;;;;Mali G52;;;;;;;;;;;;
48;Samsung Galaxy Tab S9 FE 8GB/256GB zelená;14490;11975;5.0;1.0;In stock > 5 pcs;10.9;2304 × 1440 px;['TFT'];249.0;8.0;;['Micro SD'];1000.0;['NFC', 'WiFi', 'Bluetooth', 'GPS'];['USB-C'];['Motion sensor', 'Gyroscope', 'Light sensor', 'G-sensor', 'Fingerprint reader'];8.0;12.0;3840 × 2160 px;['2160p (4K) 30fps'];;8000.0;45.0;8.0;2.4;Exynos1380;['OTG', 'Quick charge', 'Gorilla Glass', 'Water-resistant'];['Google Android'];Android 13;165.8;254.3;6.5;0.523;['Green'];;Samsung Galaxy Tab;;256.0;1.9;2.4;['IP68'];ARM Mali G68 MP5;;;;;;;;;;;;
49;Samsung Galaxy Tab S9 FE 6GB/128GB zelená;12990;10736;5.0;1.0;In stock > 5 pcs;10.9;2304 × 1440 px;['TFT'];249.0;6.0;;['Micro SD'];1000.0;['NFC', 'WiFi', 'Bluetooth', 'GPS'];['USB-C'];['Motion sensor', 'Gyroscope', 'Light sensor', 'G-sensor', 'Fingerprint reader'];8.0;12.0;3840 × 2160 px;['2160p (4K) 30fps'];;8000.0;45.0;8.0;2.4;Exynos1380;['OTG', 'Quick charge', 'Gorilla Glass', 'Water-resistant'];['Google Android'];Android 13;165.8;254.3;6.5;0.523;['Green'];;Samsung Galaxy Tab;;128.0;1.9;2.4;['IP68'];ARM Mali G68 MP5;;;;;;;;;;;;
50;iPad Air M1 256GB WiFi Cellular Space Grey 2022;26690;22058;5.0;8.0;In stock > 5 pcs;10.9;2360 × 1640 px;['IPS'];264.0;8.0;;['Does not support'];;['WiFi', 'Bluetooth'];['USB-C'];['Motion sensor', 'Gyroscope', 'Light sensor', 'Barometer'];12.0;12.0;3840 × 2160 px;['4320p (8K) 30fps', '2160p (4K) 60fps', '2160p (4K) 24fps', '1080p (Full HD) 60fps', '1080p (Full HD) 30fps', '1080p (Full HD) 120fps', '1080p (Full HD) 240fps'];['Flash function'];7667.560321715818;20.0;;;Apple M1 with 8-core GPU;['Quick charge'];['iPadOS'];;247.6;178.5;6.1;0.458;['Grey'];['Charger (adapter with cable)'];Apple iPad;;256.0;1.8;2.4;;;['5G', '4G/LTE', '3G'];;eSIM;Digital student SK;;;;;;;;
51;Samsung Galaxy TAB A7 Lite WiFi Silver;3290;2719;4.4;21.0;In stock > 5 pcs;8.7;1340 × 800 px;['TFT'];179.0;3.0;;['Micro SD'];1024.0;['WiFi', 'Bluetooth', 'GPS'];['USB-C'];['Digital compass', 'Gyroscope', 'Light sensor'];8.0;2.0;1920 × 1080 px;['1080p (Full HD) 30fps'];['Flash function'];5100.0;15.0;8.0;2.3;MediaTek MTK8768T;['Quick charge'];['Google Android'];Android 11;8.0;212.5;124.7;0.366;['Silver'];['Charger (adapter with cable)'];Samsung Galaxy Tab;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];32.0;;;;IMG GE8320;;;;;;;;;;;;
52;"iPad Pro 12.9"" 512GB M2 Space Grey 2022";40990;33876;5.0;3.0;In stock > 5 pcs;12.9;2732 × 2048 px;['IPS'];264.0;;;['Does not support'];;['NFC', 'WiFi', 'Bluetooth'];['USB-C'];['Gyroscope', 'Light sensor', 'Barometer'];12.0;12.0;3840 × 2160 px;['4320p (8K) 30fps', '2160p (4K) 60fps', '2160p (4K) 24fps', '1080p (Full HD) 60fps', '1080p (Full HD) 30fps', '1080p (Full HD) 120fps', '1080p (Full HD) 240fps'];['Flash function'];;20.0;8.0;;Apple M2 with 10-core GPU;['Quick charge'];['iPadOS'];;214.9;280.6;6.4;0.682;['Grey'];['Charger (adapter with cable)'];Apple iPad;;512.0;1.8;2.4;;;;;;;;;;;;;;
53;UleFone Tab A8 4GB/64GB gray;3499;2892;4.6;9.0;In stock > 5 pcs;10.1;1920 × 1200 px;['IPS'];225.0;4.0;64.0;['Micro SD', 'Micro SDXC', 'Micro SDHC', 'TF Card'];256.0;['WiFi', 'Bluetooth', 'GPS'];['USB-C', 'Headphone output (3.5mm jack)'];['Motion sensor', 'Light sensor', 'Proximity sensor', 'G-sensor'];13.0;5.0;1920 × 1080 px;['1080p (Full HD) 30fps', '720p (HD) 30fps'];['Flash function'];6.58;10.0;8.0;2.0;Cortex A53;['VoLTE/GSM', 'Quick charging'];['Google Android'];Android 12;157.5;238.7;7.35;0.483;['Grey'];['Charger (adapter with cable)'];;;;2.0;2.2;;IMG PowerVR GE8320;['4G/LTE', '3G'];Nano SIM;Nano SIM;Digital student SK;;;;;;;;
54;Samsung Galaxy Tab S9 FE+ 5G 8GB/128GB šedá;19490;16107;5.0;1.0;In stock > 5 pcs;12.4;2560 × 1600 px;['TFT'];244.0;8.0;128.0;['Micro SD'];1.0;['NFC', 'WiFi', 'Bluetooth', 'GPS'];['USB-C'];['Motion sensor', 'Gyroscope', 'Light sensor', 'G-sensor', 'Fingerprint reader'];8.0;12.0;3840 × 2160 px;['2160p (4K) 30fps'];;10.09;45.0;8.0;2.4;Exynos1380;['OTG', 'Quick charging', 'Gorilla Glass', 'Water-resistant'];['Google Android'];Android 13;185.4;285.4;6.5;0.627;['Grey'];;Samsung Galaxy Tab;;;1.9;2.4;['IP68'];ARM Mali G68 MP5;['5G', '4G/LTE', '3G'];Nano SIM;eSIM;Digital student SK;;;;;;;;
55;"iPad 10.9"" 64GB WiFi Yellow 2022";12990;10736;5.0;6.0;In stock > 5 pcs;10.9;2360 × 1640 px;['IPS'];264.0;4.0;;['Does not support'];;['WiFi', 'Bluetooth'];['USB-C'];['Motion sensor', 'Gyroscope'];12.0;12.0;1920 × 1080 px;['1080p (Full HD) 30fps', '720p (HD) 120fps'];['Flash function'];;;;;Apple A14 Bionic;;['iPadOS'];;248.6;179.5;7.0;0.477;['Yellow'];['Charger (adapter with cable)'];Apple iPad;;64.0;2.4;2.4;;;;;;;;;;;;;;
56;Lenovo Tab M10 Plus (3rd Gen) 4GB + 64GB LTE Storm Grey;5990;4950;5.0;4.0;In stock > 5 pcs;10.61;1200 × 2000 px;['IPS'];;4.0;64.0;['Micro SDXC'];1.0;['WiFi', 'Bluetooth', 'GPS', 'A-GPS'];['USB-C', 'Headphone output (3.5mm jack)'];['Gyroscope', 'Light sensor', 'Proximity sensor', 'G-sensor'];8.0;8.0;;;;7.5;;8.0;2.4;Qualcomm Snapdragon SDM680;['OTG'];['Google Android'];Android 12;251.2;158.8;7.45;0.465;['Grey'];['Charger (adapter with cable)'];Lenovo Tab;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;Qualcomm Adreno 610;['4G/LTE', '3G'];;;Digital student SK;;;;;;;;
57;UMAX VisionBook 8L Plus 2GB/32GB black;1690;1397;3.5;21.0;In stock;8.0;1280 × 800 px;['IPS'];;2.0;32.0;['Micro SD'];128.0;['WiFi', 'Bluetooth'];['micro USB 2.0'];;5.0;2.0;;;;3.5;;4.0;1.6;Allwinner A133;;['Google Android'];Android 12;208.0;132.0;9.0;0.35;['Black'];['Charger (adapter with cable)'];UMAX Visionbook;;;;;;IMG GE8300;;;;;;;;;;;;
58;Doogee T20s LTE 8GB/128GB šedý;4090;3380;3.7;6.0;In stock;10.36;2000 × 1200 px;['IPS'];225.0;8.0;128.0;['Micro SD', 'Micro SDXC'];1.0;['WiFi', 'Bluetooth', 'GPS', 'A-GPS'];['USB-C'];['G-sensor'];13.0;5.0;1920 × 1080 px;['1080p (Full HD) 30fps'];;7.5;10.0;8.0;2.0;Unisoc T616;['Quick charging'];['Google Android'];Android 13;155.5;245.8;79.0;0.47;['Grey'];['Charger (adapter with cable)'];;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;ARM Mali-G57;['4G/LTE'];Nano SIM;Nano SIM;Digital student SK;;;;;;;;
59;"iPad Pro 12.9"" 256GB Cellular M2 Space Grey 2022";39990;33050;5.0;3.0;In stock > 5 pcs;12.9;2732 × 2048 px;['IPS'];264.0;;;['Does not support'];;['NFC', 'WiFi', 'Bluetooth'];['USB-C'];['Gyroscope', 'Light sensor', 'Barometer'];12.0;12.0;3840 × 2160 px;['4320p (8K) 30fps', '2160p (4K) 60fps', '2160p (4K) 24fps', '1080p (Full HD) 60fps', '1080p (Full HD) 30fps', '1080p (Full HD) 120fps', '1080p (Full HD) 240fps'];['Flash function'];;20.0;8.0;;Apple M2 with 10-core GPU;['Quick charge'];['iPadOS'];;214.9;280.6;6.4;0.682;['Grey'];['Charger (adapter with cable)'];Apple iPad;;256.0;1.8;2.4;;;['5G', '4G/LTE', '3G'];;;Digital student SK;;;;;;;;
60;"iPad Pro 11"" 128GB Cellular M2 Space Grey 2022";28490;23545;5.0;5.0;In stock > 5 pcs;11.0;2388 × 1668 px;['IPS'];264.0;;;['Does not support'];;['WiFi', 'Bluetooth'];['USB-C'];['Motion sensor', 'Digital compass', 'Gyroscope', 'Light sensor'];12.0;12.0;;;;;;;;Apple M2 with 10-core GPU;;['iPadOS'];;247.6;178.5;5.9;0.468;['Grey'];;Apple iPad;;128.0;;;;;['5G', '4G/LTE', '3G'];;;Digital student SK;;;;;;;;
61;Samsung Galaxy Tab A8 LTE Grey;4990;4124;4.8;10.0;In stock > 5 pcs;10.5;1920 × 1200 px;['TFT'];216.0;3.0;32.0;['Micro SD'];1.0;['WiFi', 'Bluetooth'];['USB-C', 'Headphone output (3.5mm jack)'];['Motion sensor', 'Digital compass', 'Gyroscope', 'Light sensor'];8.0;5.0;1920 × 1080 px;['1080p (Full HD) 30fps'];['Flash function'];7.04;15.0;8.0;2.0;Unisoc Tiger T618;['Quick charging'];['Google Android'];Android 11;246.8;161.9;6.9;0.508;['Grey'];['Charger (adapter with cable)'];Samsung Galaxy Tab;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;Mali G52;;Nano SIM;;Digital student SK;;;;;;;;
62;Doogee T20 LTE 8GB/256GB fialový;5389;4454;5.0;1.0;In stock > 5 pcs;10.4;2000 × 1200 px;['IPS'];225.0;8.0;256.0;['Micro SD'];1.0;['WiFi', 'Bluetooth', 'A-GPS'];['USB-C'];['Light sensor'];16.0;8.0;;;['Swivel Camera'];8.3;18.0;8.0;2.0;ARM Cortex A5;['OTG', 'Quick charging'];['Google Android'];Android 12;155.6;245.8;46.0;0.478;['Violet'];['Charger (adapter with cable)', 'Case'];;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;ARM Mali-G57;['4G/LTE', '3G'];Nano SIM;Nano SIM;Digital student SK;;;;;;;;
63;Lenovo Smart Paper;11990;9909;3.8;5.0;In stock > 5 pcs;10.3;1872 × 1404 px;['E-ink'];227.0;4.0;64.0;['Does not support'];;['WiFi', 'Bluetooth'];['USB-C'];['Light sensor', 'Proximity sensor', 'G-sensor'];;;;;;3.55;;4.0;1.8;Rockchip RK3566;;['Google Android'];Android AOSP 11.0;226.0;195.0;5.5;0.408;['Grey'];['Case', 'Stylus'];Lenovo Tab;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;ARM Mali-G52;;;;;['PDF', 'EPUB', 'DOC', 'DOCX'];Czech;['Touch display', 'Motion sensor', 'Microphone', 'Stylus'];64.0;;;;
64;Lenovo Yoga Tab 11 8GB + 256GB Storm Grey;9990;8256;4.7;22.0;In stock > 5 pcs;11.0;2000 × 1200 px;['IPS'];212.0;8.0;256.0;['Micro SD', 'Micro SDXC', 'Micro SDHC'];512.0;['WiFi', 'Bluetooth'];['USB-C'];['Gyroscope', 'G-sensor'];8.0;8.0;1920 × 1080 px;['1080p (Full HD) 30fps'];['Flash function'];7.7;20.0;8.0;2.05;MediaTek Helio G90T;['Quick charging'];['Google Android'];Android 12;169.0;257.0;8.0;0.7000000000000001;['Grey'];['Charger (adapter with cable)'];Lenovo Yoga Tablet;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;['IP52'];Mali-G76;;;;;;;;;;;;
65;Lenovo Tab M8 (4th Gen) 3GB + 32GB Arctic Grey LTE + case and foil;3399;2809;4.8;12.0;In stock > 5 pcs;8.0;1280 × 800 px;['IPS'];;3.0;32.0;['Micro SD'];1.0;['WiFi', 'Bluetooth', 'GPS', 'A-GPS'];['USB-C', 'Headphone output (3.5mm jack)'];['Light sensor', 'Proximity sensor', 'G-sensor'];5.0;2.0;;;;5.1;10.0;4.0;2.0;MediaTek Helio A22;['VoLTE/GSM', 'Quick charging'];['Google Android'];Android 12;8.95;197.97;119.82;0.32;['Grey'];['Charger (adapter with cable)', 'Case', 'Screen Protector'];Lenovo Tab;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;;['4G/LTE', '3G'];Nano SIM;;;;;;;;;;
66;Samsung Galaxy Tab S9 Ultra Wifi 12GB/512GB grafitová;34499;28512;5.0;2.0;In stock > 5 pcs;14.6;2960 × 1848 px;['AMOLED'];240.0;12.0;;['Micro SD'];1024.0;['WiFi', 'Bluetooth', 'GPS'];['USB-C'];['Motion sensor', 'Digital compass', 'Gyroscope', 'Light sensor', 'Fingerprint reader'];13.0;12.0;3840 × 2160 px;['2160p (4K) 60fps', '2160p (4K) 30fps', '1080p (Full HD) 30fps'];['Optical zoom', 'Flash function'];11200.0;45.0;8.0;2.8;Qualcomm Snapdragon 8 Gen 2;['Quick charge', 'Water-resistant'];['Google Android'];Android 13;326.4;208.6;5.5;0.732;['Grey'];['Charging cable', 'Stylus'];Samsung Galaxy Tab;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];512.0;2.2;2.4;['IP68'];Adreno 740;;;;;;;;;;;;
67;Samsung Galaxy Tab S6 Lite LTE Blue 2022;9990;8256;5.0;7.0;In stock > 5 pcs;10.4;2000 × 1200 px;['TFT'];224.0;4.0;64.0;['Micro SD'];1.024;['WiFi', 'Bluetooth', 'GPS'];['USB-C'];['Gyroscope'];8.0;5.0;1920 × 1080 px;['1080p (Full HD) 30fps'];['Flash function'];7.04;15.0;8.0;2.3;Snapdragon 720G;['Quick charging'];['Google Android'];Android 10;244.5;154.3;7.0;0.467;['Blue'];['Charger (adapter with cable)'];Samsung Galaxy Tab S;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;;['4G/LTE', '3G'];Nano SIM;;Digital student SK;;;;;;;;
68;HONOR Pad 8 6GB/128GB modrý;5789;4784;4.4;11.0;In stock > 5 pcs;12.0;2000 × 1200 px;['IPS'];195.0;6.0;128.0;['Does not support'];;['WiFi', 'Bluetooth'];['USB-C'];['Light sensor', 'G-sensor'];5.0;5.0;1920 × 1080 px;;;7.25;;8.0;2.4;Qualcomm Snapdragon SDM680;['OTG'];['Google Android'];Android 12;278.54;174.06;6.9;0.525;['Blue'];['Charger (adapter with cable)'];;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;2.2;2.2;;Adreno 610;;;;;;;;;;;;
69;Lenovo Tab M9 4GB + 64GB LTE Arctic Grey + packaging and foil;3999;3305;4.5;8.0;In stock > 5 pcs;9.0;1340 × 800 px;['IPS'];;4.0;64.0;['Micro SD'];2.0;['WiFi', 'Bluetooth', 'GPS', 'A-GPS'];['USB-C', 'Headphone output (3.5mm jack)'];['Light sensor', 'G-sensor'];8.0;2.0;;;;5.1;10.0;8.0;2.0;MediaTek Helio G80;['Quick charging'];['Google Android'];Android 12;7.99;215.43;136.76;;['Grey'];['Charging cable', 'Case', 'Screen Protector'];Lenovo Tab;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;2.2;2.2;;Mali-G52;['4G/LTE'];Nano SIM;;;;;;;;;;
70;Samsung Galaxy Tab S9 FE+ 8GB/128GB stříbrná;16990;14041;5.0;1.0;In stock > 5 pcs;12.4;2560 × 1600 px;['TFT'];244.0;8.0;;['Micro SD'];1000.0;['NFC', 'WiFi', 'Bluetooth', 'GPS'];['USB-C'];['Motion sensor', 'Gyroscope', 'Light sensor', 'G-sensor', 'Fingerprint reader'];8.0;12.0;3840 × 2160 px;['2160p (4K) 30fps'];;10090.0;45.0;8.0;2.4;Exynos1380;['OTG', 'Quick charge', 'Gorilla Glass', 'Water-resistant'];['Google Android'];Android 13;185.4;285.4;6.5;0.627;['Silver'];;Samsung Galaxy Tab;;128.0;1.9;2.4;['IP68'];ARM Mali G68 MP5;;;;;;;;;;;;
71;"iPad Pro 12.9"" 128GB M2 Silver 2022";32490;26851;5.0;2.0;In stock > 5 pcs;12.9;2732 × 2048 px;['IPS'];264.0;;;['Does not support'];;['NFC', 'WiFi', 'Bluetooth'];['USB-C'];['Gyroscope', 'Light sensor', 'Barometer'];12.0;12.0;3840 × 2160 px;['4320p (8K) 30fps', '2160p (4K) 60fps', '2160p (4K) 24fps', '1080p (Full HD) 60fps', '1080p (Full HD) 30fps', '1080p (Full HD) 120fps', '1080p (Full HD) 240fps'];['Flash function'];;20.0;8.0;;Apple M2 with 10-core GPU;['Quick charge'];['iPadOS'];;214.9;280.6;6.4;0.682;['Silver'];['Charger (adapter with cable)'];Apple iPad;;128.0;1.8;2.4;;;;;;;;;;;;;;
72;Lenovo Tab P11 Pro (2nd Gen) 8GB + 256GB Storm Grey;9999;8264;4.2;21.0;In stock > 5 pcs;11.2;2560 × 1536 px;['OLED'];;8.0;256.0;['Micro SD'];1.024;['WiFi', 'Bluetooth', 'GPS'];['USB-C', 'Docking connector'];['Digital compass', 'Gyroscope', 'Light sensor', 'Proximity sensor', 'G-sensor'];13.0;8.0;1920 × 1080 px;['1080p (Full HD) 30fps'];;8.0;;8.0;2.6;MediaTek Kompanio 1300T;['OTG', 'Image transmission to TV', 'Gorilla Glass'];['Google Android'];Android 12;166.67;263.66;6.8;0.48;['Grey'];['Charger (adapter with cable)'];Lenovo Tab;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;ARM Mali-G77 MC9;;;;;;;;;;;;
73;Lenovo Tab M9 3GB + 32GB Arctic Grey + case and foil;3199;2644;4.9;14.0;In stock > 5 pcs;9.0;1340 × 800 px;['IPS'];;3.0;32.0;['Micro SD'];2.0;['WiFi', 'Bluetooth', 'GPS'];['USB-C', 'Headphone output (3.5mm jack)'];['Light sensor', 'G-sensor'];8.0;2.0;;;;5.1;10.0;8.0;2.0;MediaTek Helio G80;['Quick charging'];['Google Android'];Android 12;7.99;215.43;136.76;0.344;['Grey'];['Charging cable', 'Case', 'Screen Protector'];Lenovo Tab;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;2.2;2.2;;Mali-G52;;;;;;;;;;;;
