attribute;value;rating;rating_count
Boost clock [MHz];;5.0;8.0
Boost clock [MHz];;5.0;8.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;5.0;23.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;4.0;1.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;4.4;8.0
Boost clock [MHz];;4.4;8.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;3.0;1.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;4.8;5.0
Boost clock [MHz];;4.8;5.0
Boost clock [MHz];;4.6;5.0
Boost clock [MHz];;4.5;2.0
Boost clock [MHz];;2.0;1.0
Boost clock [MHz];;5.0;5.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;1.0;1.0
Boost clock [MHz];;4.0;1.0
Boost clock [MHz];;1.0;1.0
Boost clock [MHz];;1.0;1.0
Boost clock [MHz];;3.0;1.0
Boost clock [MHz];;3.0;1.0
Boost clock [MHz];;5.0;3.0
Boost clock [MHz];;5.0;3.0
Boost clock [MHz];;4.5;2.0
Boost clock [MHz];;3.7;4.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;4.5;9.0
Boost clock [MHz];;1.0;1.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;4.0;4.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;3.0
Boost clock [MHz];;5.0;3.0
Boost clock [MHz];;3.0;2.0
Boost clock [MHz];;1.0;1.0
Boost clock [MHz];;4.0;4.0
Boost clock [MHz];;3.5;13.0
Boost clock [MHz];;3.5;13.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;4.0;4.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;3.0;2.0
Boost clock [MHz];;5.0;6.0
Boost clock [MHz];;1.0;1.0
Boost clock [MHz];;5.0;4.0
Boost clock [MHz];;5.0;13.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;5.0;13.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;6.0
Boost clock [MHz];;5.0;3.0
Boost clock [MHz];;5.0;4.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;5.0;5.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;5.0;39.0
Boost clock [MHz];;4.7;19.0
Boost clock [MHz];;4.7;41.0
Boost clock [MHz];;5.0;7.0
Boost clock [MHz];;5.0;3.0
Boost clock [MHz];;5.0;3.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;2.0;1.0
Boost clock [MHz];;4.8;5.0
Boost clock [MHz];;5.0;3.0
Boost clock [MHz];;5.0;5.0
Boost clock [MHz];;5.0;39.0
Boost clock [MHz];;5.0;9.0
Boost clock [MHz];;4.9;8.0
Boost clock [MHz];;5.0;4.0
Boost clock [MHz];;4.9;8.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;1.0;1.0
Boost clock [MHz];;4.0;4.0
Boost clock [MHz];;4.0;2.0
Boost clock [MHz];;4.8;10.0
Boost clock [MHz];;5.0;3.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;4.9;153.0
Boost clock [MHz];;4.7;6.0
Boost clock [MHz];;1.0;1.0
Boost clock [MHz];;2.0;1.0
Boost clock [MHz];;4.5;2.0
Boost clock [MHz];;2.3;3.0
Boost clock [MHz];;2.3;3.0
Boost clock [MHz];;2.3;3.0
Boost clock [MHz];;4.6;5.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;4.5;4.0
Boost clock [MHz];;5.0;3.0
Boost clock [MHz];;4.6;15.0
Boost clock [MHz];;4.0;1.0
Boost clock [MHz];;3.0;2.0
Boost clock [MHz];;3.0;2.0
Boost clock [MHz];;4.5;2.0
Boost clock [MHz];;4.5;2.0
Boost clock [MHz];;4.5;4.0
Boost clock [MHz];;3.0;2.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;1.0;1.0
Boost clock [MHz];;1.0;1.0
Boost clock [MHz];;1.0;1.0
Boost clock [MHz];;1.0;1.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;3.0;2.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;3.9;8.0
Boost clock [MHz];;3.9;8.0
Boost clock [MHz];;4.0;1.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;1.0;1.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;4.4;3.0
Boost clock [MHz];;4.4;3.0
Boost clock [MHz];;4.8;15.0
Boost clock [MHz];;4.0;1.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;2.0
